slope,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
-0.98,50,0.84,0,8.60418740643021,5.13253935677505,5.135974248527452,40.36027519066839,31.78209523809524
-0.98,100,0.78,0,8.60418740643021,5.867203086762477,5.874020010906302,73.99438676273789,60.163832335329346
-0.98,500,0.72,0,8.60418740643021,7.285570451727082,7.3032208838710515,286.11112116165094,109.6058695652174
-0.98,1000,0.66,0,8.60418740643021,7.769406943978256,7.803908238314559,496.21454536442036,205.76242999525388
-0.98,2000,0.6,0,8.60418740643021,8.182133756075038,8.234750705153553,836.6890800112898,361.17172619047614
-0.98,50,0.84,1,8.57038456375783,5.135504575136469,5.141117128155001,40.36598435928188,32.32283870967742
-0.98,100,0.78,1,8.57038456375783,5.872359180946414,5.874783568369728,73.78453821033551,59.600198412698404
-0.98,500,0.72,1,8.57038456375783,7.275049168807556,7.2716353597403245,282.1604274714848,110.00250549450548
-0.98,1000,0.66,1,8.57038456375783,7.7529965887915475,7.735300306264816,487.4585698393176,196.01543859649124
-0.98,2000,0.6,1,8.57038456375783,8.154219481418853,8.135782811771557,821.8763340270298,358.4411721190203
-0.98,50,0.84,2,8.517714628175266,5.119146013010456,5.121623285657186,40.084106199113485,31.158006230529598
-0.98,100,0.78,2,8.517714628175266,5.845590888103326,5.840379562852413,73.21485883371219,54.60772540983607
-0.98,500,0.72,2,8.517714628175266,7.2434770957377275,7.235020111793963,280.52273510008166,100.30912000000001
-0.98,1000,0.66,2,8.517714628175266,7.718496260219626,7.692513378636018,482.9505787525648,173.3988728448276
-0.98,2000,0.6,2,8.517714628175266,8.111474491994318,8.074764339147018,808.707281563881,317.4866071428571
-0.98,50,0.84,3,8.481974314096533,5.105297716311646,5.091539089067587,39.886909236868284,29.68849557522124
-0.98,100,0.78,3,8.481974314096533,5.8231270388351355,5.812984063312281,72.78978362269397,50.135273631840796
-0.98,500,0.72,3,8.481974314096533,7.215336279063522,7.196119703902331,277.9252172877901,90.11811355311355
-0.98,1000,0.66,3,8.481974314096533,7.682664342421541,7.670940981076414,479.17742819272166,175.5602777777778
-0.98,2000,0.6,3,8.481974314096533,8.075235100580366,8.073796053228005,805.5769881836728,306.3984107744108
-0.98,50,0.84,4,8.508348887410628,5.1055826240765185,5.1161849371722194,39.953902213554166,30.654796747967477
-0.98,100,0.78,4,8.508348887410628,5.8283885764326415,5.838632108371668,73.03425045667187,54.146560960960954
-0.98,500,0.72,4,8.508348887410628,7.226226888495123,7.2323794072709395,279.96729902280947,96.57307051282054
-0.98,1000,0.66,4,8.508348887410628,7.6988956548364085,7.722402450122708,483.3202228474073,176.2112676796887
-0.98,2000,0.6,4,8.508348887410628,8.096977310874356,8.147105303411333,813.0830049729544,335.90103159252095
-0.98,50,0.84,5,8.49260503397162,5.105463053237445,5.1106624433571035,39.969977131141924,31.883555555555553
-0.98,100,0.78,5,8.49260503397162,5.830231060104246,5.832117090980723,73.0576751403887,55.967419100236775
-0.98,500,0.72,5,8.49260503397162,7.220864735045006,7.226228692387079,279.7144881878122,104.60892156862747
-0.98,1000,0.66,5,8.49260503397162,7.69858036861404,7.707081666819524,482.76731149961694,180.03158163265306
-0.98,2000,0.6,5,8.49260503397162,8.091623099609352,8.10845095154034,808.86465339481,333.7784133667502
-0.98,50,0.84,6,8.5605815012104,5.133926651340016,5.126725306148161,40.306958420339825,31.69841068917018
-0.98,100,0.78,6,8.5605815012104,5.855490537091687,5.856601312655072,73.626752722222,57.40379047619048
-0.98,500,0.72,6,8.5605815012104,7.265297364370983,7.265037701658858,282.1022286094508,102.49156462585033
-0.98,1000,0.66,6,8.5605815012104,7.741692460602483,7.738920385459491,488.0761469401292,190.06964360587003
-0.98,2000,0.6,6,8.5605815012104,8.146228166339698,8.141719371389982,822.1518883690392,336.08507836990594
-0.98,50,0.84,7,8.504980538495897,5.110974250324959,5.111744608181946,40.034867886544056,30.515975609756097
-0.98,100,0.78,7,8.504980538495897,5.836589479541511,5.833315543337166,73.11861929098465,53.51829787234042
-0.98,500,0.72,7,8.504980538495897,7.226270467843463,7.240819943856061,278.9822232485678,96.93766826923078
-0.98,1000,0.66,7,8.504980538495897,7.699053499160369,7.71232187904616,481.17940248263625,181.90511363636364
-0.98,2000,0.6,7,8.504980538495897,8.09639742944081,8.11999410521985,810.1110930185588,337.1075087719299
-0.98,50,0.84,8,8.56610913775753,5.130173402794539,5.1288762242400665,40.23143164675276,31.80620253164557
-0.98,100,0.78,8,8.56610913775753,5.8596445378915964,5.8591096396034725,73.51409528648693,54.93472527472527
-0.98,500,0.72,8,8.56610913775753,7.263014723888094,7.25691100430303,282.4108582034251,99.76607260726074
-0.98,1000,0.66,8,8.56610913775753,7.7427679025401135,7.7291823666546895,488.8646664192302,187.7125925925926
-0.98,2000,0.6,8,8.56610913775753,8.145500811297213,8.143732330330005,825.5576339856481,335.0185452395033
-0.98,50,0.84,9,8.52399189231647,5.124570805357837,5.127360322413127,40.17150218745463,31.543470031545745
-0.98,100,0.78,9,8.52399189231647,5.853923537295184,5.852891225351383,73.33062665611666,54.91896872358411
-0.98,500,0.72,9,8.52399189231647,7.244875863470421,7.247599860875039,279.3406467273639,97.01423076923076
-0.98,1000,0.66,9,8.52399189231647,7.718284655281553,7.7011404306540845,481.8118466320211,182.74171483253588
-0.98,2000,0.6,9,8.52399189231647,8.116000357638484,8.094753751880214,811.0250148057232,334.98511648745523
