slope,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
-1.23,50,0.84,0,6.248612635950862,4.25064750028036,4.245081816653257,28.612526834070536,11.83062721893491
-1.23,100,0.78,0,6.248612635950862,4.726331088455435,4.716610201660162,48.8332173745067,14.35632183908046
-1.23,500,0.72,0,6.248612635950862,5.552410063672525,5.557640985567933,163.47122296836721,17.93448028673835
-1.23,1000,0.66,0,6.248612635950862,5.818723209531558,5.811200175978276,271.1811709097191,24.43051707317073
-1.23,2000,0.6,0,6.248612635950862,6.030507217761535,6.003178290988226,443.1815650231236,37.110814814814816
-1.23,50,0.84,1,6.323452338741834,4.295167290960747,4.30466549569688,29.01534006612303,11.924295942720764
-1.23,100,0.78,1,6.323452338741834,4.778817825720435,4.778293712648014,49.57201029399102,14.728895434462444
-1.23,500,0.72,1,6.323452338741834,5.623329482976115,5.624473926236703,165.7969876965719,18.75942464040025
-1.23,1000,0.66,1,6.323452338741834,5.8873361662045465,5.885824865712377,273.81715790600055,26.19259162303665
-1.23,2000,0.6,1,6.323452338741834,6.1029769569685355,6.105452277420123,445.82809327570527,39.70710215710216
-1.23,50,0.84,2,6.18072029204164,4.235698377372026,4.224157189731968,28.284806723345575,11.564027777777778
-1.23,100,0.78,2,6.18072029204164,4.7003167663459475,4.6906688948104245,48.019055213887846,13.770509641873277
-1.23,500,0.72,2,6.18072029204164,5.51201306082324,5.505446717412121,159.4819812996256,17.057451649601823
-1.23,1000,0.66,2,6.18072029204164,5.7660312067193775,5.752480124761953,262.46702751737007,23.406583398386676
-1.23,2000,0.6,2,6.18072029204164,5.973000313798446,5.974297424671581,425.8987750734097,35.21930471719204
-1.23,50,0.84,3,6.171010243652677,4.210135931582419,4.198685106350197,28.313989470466247,11.68239595488137
-1.23,100,0.78,3,6.171010243652677,4.675094900898185,4.664763285299818,48.432354124868965,14.10093088857546
-1.23,500,0.72,3,6.171010243652677,5.502229360295991,5.4868049396069365,161.10138081528495,17.222006861063466
-1.23,1000,0.66,3,6.171010243652677,5.756273606098381,5.74198286547901,264.20772661659544,23.20566281755196
-1.23,2000,0.6,3,6.171010243652677,5.9631696147418705,5.982083251163277,426.7195755113261,35.228152739969225
-1.23,50,0.84,4,6.2550746011481175,4.253695048491777,4.260147158134423,28.60283544743973,11.898809523809524
-1.23,100,0.78,4,6.2550746011481175,4.732071415159655,4.7347674860966436,48.733722538928774,14.339466332378224
-1.23,500,0.72,4,6.2550746011481175,5.562550878766268,5.57437461410743,162.82573280815626,17.94232974910394
-1.23,1000,0.66,4,6.2550746011481175,5.825471754579431,5.842743703431283,269.50517520357226,25.05736
-1.23,2000,0.6,4,6.2550746011481175,6.034406727706973,6.048323776182562,439.97985797173305,37.710207336523126
-1.23,50,0.84,5,6.2299141649051535,4.23761341751251,4.246431969835084,28.52299559276895,11.73356807511737
-1.23,100,0.78,5,6.2299141649051535,4.714512729389109,4.7120856044134865,48.75377123385938,14.170764872521248
-1.23,500,0.72,5,6.2299141649051535,5.539974042782876,5.544390261640908,162.9118937507148,17.746406619385343
-1.23,1000,0.66,5,6.2299141649051535,5.802330832361847,5.818537566061281,269.14643944335904,25.30618686868687
-1.23,2000,0.6,5,6.2299141649051535,6.015860542839917,6.040831327404964,438.0422456987654,38.066528740773876
-1.23,50,0.84,6,6.281580381536908,4.25637561532618,4.268123308382739,28.770220684780696,11.854092526690392
-1.23,100,0.78,6,6.281580381536908,4.734582538957323,4.745212316490605,49.360356541955476,14.347593123209167
-1.23,500,0.72,6,6.281580381536908,5.584309713260985,5.592623212237874,165.74878489351116,18.17103448275862
-1.23,1000,0.66,6,6.281580381536908,5.848443973013056,5.864157508577188,273.12394953718456,25.65625641025641
-1.23,2000,0.6,6,6.281580381536908,6.063418214759863,6.078427555262994,444.5328149794198,39.23619047619048
-1.23,50,0.84,7,6.218672235522498,4.252572723022667,4.251141517575887,28.521974954860806,11.692616822429905
-1.23,100,0.78,7,6.218672235522498,4.722679311661741,4.71951208246884,48.55948323986157,14.373510028653294
-1.23,500,0.72,7,6.218672235522498,5.543361693206227,5.555174467636168,161.34578694560872,17.91103756708408
-1.23,1000,0.66,7,6.218672235522498,5.803044325049466,5.816409871686079,265.60263351961436,24.91828358208955
-1.23,2000,0.6,7,6.218672235522498,6.011710737219252,6.021007093165098,429.4217814391375,36.72283272283273
-1.23,50,0.84,8,6.146128157349721,4.190165083776029,4.187548065132541,28.048194647650227,11.619767441860466
-1.23,100,0.78,8,6.146128157349721,4.653756347012493,4.6491051789190925,47.856262319741695,13.73076923076923
-1.23,500,0.72,8,6.146128157349721,5.468335907005558,5.480347005706269,160.08377942564678,16.861191680719504
-1.23,1000,0.66,8,6.146128157349721,5.72777291600683,5.745007170573948,264.2317372716496,22.75227272727273
-1.23,2000,0.6,8,6.146128157349721,5.933862634650126,5.934930080528299,429.45548627798416,33.43567521367522
-1.23,50,0.84,9,6.22238624160218,4.2491032586725455,4.251626518272347,28.538329056693385,12.077729468599035
-1.23,100,0.78,9,6.22238624160218,4.727653998498682,4.724978929463551,48.570055875054635,14.634615009746588
-1.23,500,0.72,9,6.22238624160218,5.54834520811338,5.52748649708395,160.56502806307847,17.865165379283024
-1.23,1000,0.66,9,6.22238624160218,5.802415475170039,5.787626514562417,264.7217878769993,24.754864197530868
-1.23,2000,0.6,9,6.22238624160218,6.009482335313944,5.9806171752557775,431.31635596075034,36.55458585858586
