type,slope,shift,variety,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
slope,-1.1328280831024702,1.9926783254508513,7100,0,8.917617568404388,8.373968488236674,8.377841671359807,1382.9661183813796,96.65511593487912
slope,-1.1328280831024702,1.9926783254508513,7100,1,8.931390433124598,8.385696567221041,8.382155698502073,1390.9778918080033,96.85058823529411
slope,-1.1328280831024702,1.9926783254508513,7100,2,8.951524127455368,8.40272888023779,8.407221829196923,1396.6032805139673,98.49266800737388
slope,-1.1328280831024702,1.9926783254508513,7100,3,8.929124761901242,8.380877527989876,8.380855012050281,1391.390711066826,96.49425812807881
slope,-1.1328280831024702,1.9926783254508513,7100,4,8.930734190255983,8.383074157862017,8.384775467356405,1389.139508779426,96.35255090998524
slope,-1.1328280831024702,1.9926783254508513,7100,5,8.957490035919907,8.404660952347651,8.407779213260518,1402.238543867508,98.98717427727986
slope,-1.1328280831024702,1.9926783254508513,7100,6,8.942623295377102,8.391874243522864,8.39084345540235,1399.0908761338383,97.5069387755102
slope,-1.1328280831024702,1.9926783254508513,7100,7,8.95400698406769,8.406384782426997,8.40535423735162,1394.8577832707333,99.658994574432
slope,-1.1328280831024702,1.9926783254508513,7100,8,8.959090475431895,8.407673063974714,8.409563240958075,1401.931608080277,99.68727622278767
slope,-1.1328280831024702,1.9926783254508513,7100,9,8.927419482030512,8.382775063821276,8.376359039877368,1387.0903330798064,96.04201895424836
