genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.85,0,5.308758439731455,5.308758439731455,5.308758439731455,43.0,46.87380952380954
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.8,0,5.308758439731455,,,,71.42857142857142
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.75,0,5.308758439731455,,,,89.28571428571428
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,1000,0.7,0,5.308758439731455,,,,107.14285714285715
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,2000,0.65,0,5.308758439731455,,,,124.99999999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,5000,0.6,0,5.308758439731455,,,,142.85714285714283
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.85,1,5.308758439731455,5.308758439731455,5.308758439731455,42.0,45.01666666666669
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.8,1,5.308758439731455,,,,62.49999999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.75,1,5.308758439731455,,,,78.12499999999999
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,1000,0.7,1,5.308758439731455,,,,93.75
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,2000,0.65,1,5.308758439731455,,,,109.37499999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,5000,0.6,1,5.308758439731455,,,,124.99999999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.85,2,5.333660689688186,5.333660689688186,5.333660689688186,43.0,41.1904761904762
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.8,2,5.333660689688186,,,,71.42857142857142
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.75,2,5.333660689688186,,,,89.28571428571428
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,1000,0.7,2,5.333660689688186,,,,107.14285714285715
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,2000,0.65,2,5.333660689688186,,,,124.99999999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,5000,0.6,2,5.333660689688186,,,,142.85714285714283
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.85,3,5.203856189774724,5.203856189774724,5.203856189774724,40.0,24.666666666666668
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.8,3,5.203856189774724,,,,43.5
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.75,3,5.203856189774724,,,,62.500000000000014
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,1000,0.7,3,5.203856189774724,,,,75.00000000000003
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,2000,0.65,3,5.203856189774724,,,,87.50000000000003
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,5000,0.6,3,5.203856189774724,,,,100.00000000000003
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.85,4,5.243856189774724,5.243856189774724,5.243856189774724,41.0,33.35
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.8,4,5.243856189774724,,,,47.274074074074065
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.75,4,5.243856189774724,,,,69.44444444444443
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,1000,0.7,4,5.243856189774724,,,,83.33333333333331
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,2000,0.65,4,5.243856189774724,,,,97.22222222222219
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,5000,0.6,4,5.243856189774724,,,,111.11111111111109
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.85,5,5.388758439731455,5.388758439731455,5.388758439731455,44.0,62.63333333333336
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.8,5,5.388758439731455,,,,83.33333333333331
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.75,5,5.388758439731455,,,,104.16666666666667
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,1000,0.7,5,5.388758439731455,,,,125.00000000000003
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,2000,0.65,5,5.388758439731455,,,,145.83333333333334
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,5000,0.6,5,5.388758439731455,,,,166.66666666666669
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.85,6,5.268758439731455,5.268758439731455,5.268758439731455,42.0,39.58333333333334
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.8,6,5.268758439731455,,,,62.49999999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.75,6,5.268758439731455,,,,78.12499999999999
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,1000,0.7,6,5.268758439731455,,,,93.75
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,2000,0.65,6,5.268758439731455,,,,109.37499999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,5000,0.6,6,5.268758439731455,,,,124.99999999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.85,7,5.173660689688186,5.173660689688186,5.173660689688186,39.0,27.0875
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.8,7,5.173660689688186,,,,39.06666666666666
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.75,7,5.173660689688186,,,,56.81818181818183
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,1000,0.7,7,5.173660689688186,,,,68.1818181818182
