genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,LouisaAlcott_LittleWomen.txt,50,50,0.85,0,5.403856189774724,5.403856189774724,5.403856189774724,44.0,62.500000000000014
literature,LouisaAlcott_LittleWomen.txt,50,100,0.8,0,5.403856189774724,,,,83.33333333333331
literature,LouisaAlcott_LittleWomen.txt,50,500,0.75,0,5.403856189774724,,,,104.16666666666667
literature,LouisaAlcott_LittleWomen.txt,50,1000,0.7,0,5.403856189774724,,,,125.00000000000003
literature,LouisaAlcott_LittleWomen.txt,50,2000,0.65,0,5.403856189774724,,,,145.83333333333334
literature,LouisaAlcott_LittleWomen.txt,50,5000,0.6,0,5.403856189774724,,,,166.66666666666669
literature,LouisaAlcott_LittleWomen.txt,50,50,0.85,1,5.213660689688186,5.213660689688186,5.213660689688186,40.0,42.04999999999998
literature,LouisaAlcott_LittleWomen.txt,50,100,0.8,1,5.213660689688186,,,,45.0
literature,LouisaAlcott_LittleWomen.txt,50,500,0.75,1,5.213660689688186,,,,62.500000000000014
literature,LouisaAlcott_LittleWomen.txt,50,1000,0.7,1,5.213660689688186,,,,75.00000000000003
literature,LouisaAlcott_LittleWomen.txt,50,2000,0.65,1,5.213660689688186,,,,87.50000000000003
literature,LouisaAlcott_LittleWomen.txt,50,5000,0.6,1,5.213660689688186,,,,100.00000000000003
literature,LouisaAlcott_LittleWomen.txt,50,50,0.85,2,5.171663380285988,5.171663380285988,5.171663380285988,41.0,37.056250000000006
literature,LouisaAlcott_LittleWomen.txt,50,100,0.8,2,5.171663380285988,,,,62.785185185185185
literature,LouisaAlcott_LittleWomen.txt,50,500,0.75,2,5.171663380285988,,,,69.44444444444443
literature,LouisaAlcott_LittleWomen.txt,50,1000,0.7,2,5.171663380285988,,,,83.33333333333331
literature,LouisaAlcott_LittleWomen.txt,50,2000,0.65,2,5.171663380285988,,,,97.22222222222219
literature,LouisaAlcott_LittleWomen.txt,50,5000,0.6,2,5.171663380285988,,,,111.11111111111109
literature,LouisaAlcott_LittleWomen.txt,50,50,0.85,3,5.403856189774724,5.403856189774724,5.403856189774724,44.0,62.500000000000014
