genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,0,5.078562939644916,3.2819280948873626,3.2585134607410233,9.430612244897965,38.89166666666667
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,0,5.078562939644916,5.078562939644916,5.078562939644916,37.0,45.866666666666674
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,0,5.078562939644916,,,,73.00000000000004
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,0,5.078562939644916,,,,57.6923076923077
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,0,5.078562939644916,,,,67.3076923076923
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,1,5.523856189774724,3.3219280948873626,3.2877817534239506,9.88979591836738,124.9999999999999
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,1,5.523856189774724,5.523856189774724,5.523856189774724,47.0,166.6666666666665
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,1,5.523856189774724,,,,208.33333333333314
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,1,5.523856189774724,,,,249.9999999999998
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,1,5.523856189774724,,,,291.6666666666664
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,2,4.908758439731455,3.1219280948873624,3.2390012656190725,9.20838037342596,25.075
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,2,4.908758439731455,4.908758439731455,4.908758439731455,34.0,36.162499999999994
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,2,4.908758439731455,,,,56.99999999999997
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,2,4.908758439731455,,,,43.5
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,2,4.908758439731455,,,,49.34375
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,3,5.148758439731455,3.154379219865728,3.243879314399561,9.478679982631355,24.1125
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,3,5.148758439731455,5.148758439731455,5.148758439731455,39.0,30.53333333333333
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,3,5.148758439731455,,,,56.81818181818183
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,3,5.148758439731455,,,,68.1818181818182
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,3,5.148758439731455,,,,79.54545454545455
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,4,4.958562939644916,3.166830344844093,3.123123765608519,9.270516717325222,23.669999999999998
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,4,4.958562939644916,4.958562939644916,4.958562939644916,35.0,27.711999999999996
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,4,4.958562939644916,,,,37.675
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,4,4.958562939644916,,,,46.0
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,4,4.958562939644916,,,,58.33333333333332
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,5,4.90146788019945,3.054379219865728,3.046820808254507,9.06421491815968,15.166666666666666
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,5,4.90146788019945,4.90146788019945,4.90146788019945,36.0,22.25
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,5,4.90146788019945,,,,31.01041666666667
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,5,4.90146788019945,,,,42.457142857142856
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,5,4.90146788019945,,,,47.675000000000004
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,6,4.734177320667444,3.181928094887362,3.188379588784528,8.919690762521459,13.300000000000002
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,6,4.734177320667444,4.734177320667444,4.734177320667444,32.0,17.16
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,6,4.734177320667444,,,,22.5125
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,6,4.734177320667444,,,,35.768750000000004
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,6,4.734177320667444,,,,31.8
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,7,5.268758439731455,3.261928094887362,3.273147607082487,9.638775510204102,36.0
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,7,5.268758439731455,5.268758439731455,5.268758439731455,41.0,47.277777777777764
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,7,5.268758439731455,,,,69.44444444444443
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,7,5.268758439731455,,,,83.33333333333331
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,7,5.268758439731455,,,,97.22222222222219
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,8,5.173660689688186,3.2219280948873625,3.1584657777930865,9.53469387755103,38.6
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,8,5.173660689688186,5.173660689688186,5.173660689688186,39.0,54.36666666666664
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,8,5.173660689688186,,,,56.9810606060606
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,8,5.173660689688186,,,,68.1818181818182
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,8,5.173660689688186,,,,79.54545454545455
literature,FrancesBurnett_TheSecretGarden.txt,50,10,0.85,9,4.76637013015618,3.0668303448440932,3.2341232168385843,8.87350714568898,20.800000000000004
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.8,9,4.76637013015618,4.76637013015618,4.76637013015618,34.0,25.639999999999997
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.75,9,4.76637013015618,,,,33.68055555555555
literature,FrancesBurnett_TheSecretGarden.txt,50,200,0.7,9,4.76637013015618,,,,42.26666666666666
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.65,9,4.76637013015618,,,,55.79583333333333
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,0,5.431512891732574,3.166830344844093,3.2209662552565606,9.43552958909694,26.91875
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,0,5.431512891732574,5.150487914070267,5.183591906752545,41.338443656631064,59.03333333333332
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,0,5.431512891732574,,,,80.08333333333331
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,0,5.431512891732574,,,,96.09999999999998
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,0,5.431512891732574,,,,112.11666666666663
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,1,5.1481613353701485,3.1343792198657274,3.261550736396799,9.218570477956899,19.333333333333332
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,1,5.1481613353701485,4.915784911191592,4.9905998399247675,35.748735667211925,34.02083333333333
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,1,5.1481613353701485,,,,47.666666666666664
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,1,5.1481613353701485,,,,48.76666666666666
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,1,5.1481613353701485,,,,67.26999999999998
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,2,5.086866673115629,3.1419280948873625,3.0143440382672626,9.210871190387039,15.075000000000001
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,2,5.086866673115629,4.912332440914326,4.838895955236157,34.11209496409396,16.233333333333334
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,2,5.086866673115629,,,,23.84375
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,2,5.086866673115629,,,,30.055
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,2,5.086866673115629,,,,32.1875
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,3,5.490407802287465,3.301928094887362,3.2162677175288734,9.646218931782144,28.25
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,3,5.490407802287465,5.276307314753089,5.2714883435942514,40.801163405605465,39.0
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,3,5.490407802287465,,,,48.74761904761905
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,3,5.490407802287465,,,,57.83047619047619
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,3,5.490407802287465,,,,66.91333333333334
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,4,5.312673124728532,3.2819280948873626,3.1643624816716516,9.468535166578548,19.6
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,4,5.312673124728532,5.119092264657898,5.0119116895949904,37.691697514542525,45.7
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,4,5.312673124728532,,,,49.666666666666664
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,4,5.312673124728532,,,,53.033333333333346
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,4,5.312673124728532,,,,74.74444444444445
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,5,5.16355840702149,3.1743792198657275,3.0109960429638325,9.208531830887544,18.62857142857143
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,5,5.16355840702149,5.004905096798295,4.731157497293956,36.26632239285998,20.877777777777776
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,5,5.16355840702149,,,,39.2
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,5,5.16355840702149,,,,45.175000000000004
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,5,5.16355840702149,,,,64.71666666666665
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,6,5.478232197413861,3.2419280948873626,3.2011733779062306,9.590316306500942,34.19375
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,6,5.478232197413861,5.264758439731455,5.2409458242935845,41.03613010782559,46.61333333333334
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,6,5.478232197413861,,,,73.9230769230769
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,6,5.478232197413861,,,,88.7076923076923
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,6,5.478232197413861,,,,103.49230769230766
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,7,5.51049026192999,3.241928094887362,3.216267717528873,9.614113239340714,44.112500000000004
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,7,5.51049026192999,5.255248664727128,5.319964920523985,41.68393550179703,84.95555555555556
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,7,5.51049026192999,,,,80.08333333333331
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,7,5.51049026192999,,,,96.09999999999998
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,7,5.51049026192999,,,,112.11666666666663
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,8,5.280415060212403,3.1619280948873625,3.082620382553818,9.353652787425649,18.45
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,8,5.280415060212403,5.140532171854547,5.026895541298034,37.998927327922594,27.424999999999994
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,8,5.280415060212403,,,,47.67857142857144
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,8,5.280415060212403,,,,52.80224089635855
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,8,5.280415060212403,,,,79.14117647058823
literature,FrancesBurnett_TheSecretGarden.txt,62,10,0.85,9,5.389364858634394,3.201928094887363,3.207721821277967,9.536753040719223,21.058333333333334
literature,FrancesBurnett_TheSecretGarden.txt,62,50,0.8,9,5.389364858634394,5.134111814666552,5.132906497387149,39.1168693812797,26.8
literature,FrancesBurnett_TheSecretGarden.txt,62,100,0.75,9,5.389364858634394,,,,33.833333333333336
literature,FrancesBurnett_TheSecretGarden.txt,62,200,0.7,9,5.389364858634394,,,,72.075
literature,FrancesBurnett_TheSecretGarden.txt,62,500,0.65,9,5.389364858634394,,,,84.08749999999999
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,0,5.671016372111431,3.261928094887362,3.289575153710895,9.550209499380326,34.259375
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,0,5.671016372111431,5.203699789705493,5.110397528952264,40.66271308340532,49.599999999999994
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,0,5.671016372111431,,,,102.41666666666659
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,0,5.671016372111431,,,,93.61578947368423
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,0,5.671016372111431,,,,109.21842105263158
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,1,5.536076638013208,3.254379219865728,3.20206077870453,9.405484741101134,25.021428571428565
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,1,5.536076638013208,5.090041946858873,4.942873056627702,38.771534200517706,38.79999999999998
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,1,5.536076638013208,,,,56.66666666666668
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,1,5.536076638013208,,,,71.92500000000001
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,1,5.536076638013208,,,,94.325
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,2,5.815759840003985,3.2819280948873626,3.2925163301814817,9.619321291347184,52.530952380952385
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,2,5.815759840003985,5.313009833769601,5.299820871289385,43.10358470812701,91.21538461538462
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,2,5.815759840003985,,,,114.0192307692308
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,2,5.815759840003985,,,,136.823076923077
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,2,5.815759840003985,,,,159.62692307692313
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,3,5.794519943596197,3.186830344844093,3.295457506652073,9.663556749569661,42.55535714285714
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,3,5.794519943596197,5.294120146893488,5.415929225458102,42.57451962679082,74.05625
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,3,5.794519943596197,,,,92.64062500000001
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,3,5.794519943596197,,,,111.16875000000005
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,3,5.794519943596197,,,,129.696875
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,4,5.649776475703643,3.2819280948873626,3.227810447828539,9.45442061002542,30.266666666666666
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,4,5.649776475703643,5.113805033289675,5.211187083868323,40.89839073412406,54.008333333333326
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,4,5.649776475703643,,,,74.11574074074072
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,4,5.649776475703643,,,,98.81666666666669
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,4,5.649776475703643,,,,115.28611111111111
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,5,5.5138752621100044,3.1543792198657274,3.1627153559072303,9.276939905585667,22.239285714285717
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,5,5.5138752621100044,5.100332771072672,5.014614926031755,39.33184466779839,28.821428571428566
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,5,5.5138752621100044,,,,45.81249999999999
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,5,5.5138752621100044,,,,84.70000000000002
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,5,5.5138752621100044,,,,98.81666666666666
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,6,5.568417222372599,3.194379219865728,3.1785313669398256,9.457469740454556,20.657142857142855
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,6,5.568417222372599,5.140081046876181,4.970474309173206,39.17887934470495,33.75714285714285
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,6,5.568417222372599,,,,47.77380952380952
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,6,5.568417222372599,,,,53.26666666666667
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,6,5.568417222372599,,,,94.325
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,7,5.581993606237752,3.201928094887362,3.224869271357952,9.415907249865382,40.12000000000002
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,7,5.581993606237752,5.160280777816399,5.168252106850475,39.67034715124126,39.457142857142856
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,7,5.581993606237752,,,,66.37083333333332
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,7,5.581993606237752,,,,88.93500000000003
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,7,5.581993606237752,,,,103.75750000000001
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,8,5.158991411524152,3.1819280948873625,3.067761789686219,8.920870050651645,17.25
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,8,5.158991411524152,4.875391267394818,4.789749278915006,34.09806322028981,18.95
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,8,5.158991411524152,,,,33.84375
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,8,5.158991411524152,,,,38.197187500000005
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,8,5.158991411524152,,,,45.71666666666667
literature,FrancesBurnett_TheSecretGarden.txt,77,10,0.85,9,5.7732800471884085,3.2343792198657275,3.2660457419461895,9.65908813803544,38.699999999999996
literature,FrancesBurnett_TheSecretGarden.txt,77,50,0.8,9,5.7732800471884085,5.310268214735782,5.35617412727318,42.17399456873151,67.5
literature,FrancesBurnett_TheSecretGarden.txt,77,100,0.75,9,5.7732800471884085,,,,87.19117647058825
literature,FrancesBurnett_TheSecretGarden.txt,77,200,0.7,9,5.7732800471884085,,,,104.62941176470592
literature,FrancesBurnett_TheSecretGarden.txt,77,500,0.65,9,5.7732800471884085,,,,122.06764705882355
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,0,5.5731351266610805,3.214379219865728,3.1701590144077016,9.277273413072642,23.104166666666668
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,0,5.5731351266610805,4.9962542408797095,4.921741922728662,36.60996821153787,29.15
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,0,5.5731351266610805,,,,40.260416666666664
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,0,5.5731351266610805,,,,38.76666666666666
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,0,5.5731351266610805,,,,68.39999999999999
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,1,6.082205599611881,3.261928094887362,3.220778669600008,9.729500054184827,29.666666666666668
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,1,6.082205599611881,5.38430731475309,5.306493200355944,43.368989993859074,53.18590909090908
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,1,6.082205599611881,,,,104.72727272727275
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,1,6.082205599611881,,,,125.67272727272731
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,1,6.082205599611881,,,,146.61818181818185
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,2,5.8324746782469115,3.2219280948873625,3.2388652644201352,9.539276478736681,28.307142857142853
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,2,5.8324746782469115,5.151751452803419,5.254328977227298,39.98434282772833,45.25
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,2,5.8324746782469115,,,,63.78124999999999
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,2,5.8324746782469115,,,,79.71111111111112
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,2,5.8324746782469115,,,,107.52
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,3,5.9831454433168085,3.2819280948873626,3.2368706236229974,9.639088068489656,38.5875
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,3,5.9831454433168085,5.316229114718474,5.178383136515108,41.91571391588103,66.88999999999999
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,3,5.9831454433168085,,,,72.33333333333334
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,3,5.9831454433168085,,,,115.20000000000002
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,3,5.9831454433168085,,,,134.4
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,4,5.83862145393215,3.201928094887362,3.2483648764965585,9.525710007663138,28.166666666666668
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,4,5.83862145393215,5.161061496867527,5.114580351855793,40.07672283600885,33.83333333333333
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,4,5.83862145393215,,,,48.511111111111106
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,4,5.83862145393215,,,,73.74597701149425
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,4,5.83862145393215,,,,111.22758620689653
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,5,5.974241766522295,3.2419280948873626,3.2759510833931107,9.623301814486638,52.12142857142857
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,5,5.974241766522295,5.255170464692513,5.227023035461405,41.82168057411895,94.2625
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,5,5.974241766522295,,,,91.5
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,5,5.974241766522295,,,,115.20000000000002
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,5,5.974241766522295,,,,134.4
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,6,5.936205470122261,3.114379219865728,3.2667556810942613,9.510144610904021,43.09999999999999
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,6,5.936205470122261,5.202293340897018,5.1547345420997095,41.444572631819796,61.531249999999986
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,6,5.936205470122261,,,,104.72727272727275
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,6,5.936205470122261,,,,125.67272727272731
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,6,5.936205470122261,,,,146.61818181818185
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,7,6.0484023444260835,3.201928094887362,3.248364876496562,9.673775097052493,36.4
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,7,6.0484023444260835,5.3343980778683235,5.339153054248912,42.97147472946933,53.96249999999999
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,7,6.0484023444260835,,,,104.72727272727275
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,7,6.0484023444260835,,,,125.67272727272731
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,7,6.0484023444260835,,,,146.61818181818185
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,8,5.978038932945214,3.261928094887362,3.2230775201747184,9.647276758299283,22.25
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,8,5.978038932945214,5.257738889722801,5.203497838646451,41.90999816373472,40.285714285714285
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,8,5.978038932945214,,,,47.765625
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,8,5.978038932945214,,,,110.59200000000003
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,8,5.978038932945214,,,,129.02400000000003
literature,FrancesBurnett_TheSecretGarden.txt,96,10,0.85,9,6.011842188131012,3.2819280948873626,3.2782499339678246,9.6908662355958,44.75
literature,FrancesBurnett_TheSecretGarden.txt,96,50,0.8,9,6.011842188131012,5.346797539748762,5.267619423787817,42.43160664186207,59.459999999999994
literature,FrancesBurnett_TheSecretGarden.txt,96,100,0.75,9,6.011842188131012,,,,124.08333333333341
literature,FrancesBurnett_TheSecretGarden.txt,96,200,0.7,9,6.011842188131012,,,,110.59200000000003
literature,FrancesBurnett_TheSecretGarden.txt,96,500,0.65,9,6.011842188131012,,,,129.02400000000003
literature,FrancesBurnett_TheSecretGarden.txt,118,10,0.85,0,5.740599991605845,3.254379219865728,2.9894675787787275,9.295604145248955,15.37142857142857
literature,FrancesBurnett_TheSecretGarden.txt,118,50,0.8,0,5.740599991605845,5.011872983709023,5.02596958049081,36.603935330894714,24.31333333333333
literature,FrancesBurnett_TheSecretGarden.txt,118,100,0.75,0,5.740599991605845,5.580758792640514,5.652303128238263,61.88376663631658,32.138888888888886
literature,FrancesBurnett_TheSecretGarden.txt,118,200,0.7,0,5.740599991605845,,,,35.55064935064935
literature,FrancesBurnett_TheSecretGarden.txt,118,500,0.65,0,5.740599991605845,,,,49.80933333333333
literature,FrancesBurnett_TheSecretGarden.txt,118,10,0.85,1,6.2640522149576805,3.241928094887362,3.276056535254341,9.698061282952079,46.4
