genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,0,5.1985629396449164,3.201928094887362,3.217647881467454,9.417634843021407,47.049999999999976
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,0,5.1985629396449164,5.1985629396449164,5.1985629396449164,42.0,62.49999999999997
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,0,5.1985629396449164,,,,78.12499999999999
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,0,5.1985629396449164,,,,93.75
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,0,5.1985629396449164,,,,109.37499999999997
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,1,5.348758439731455,3.241928094887362,3.292659802204438,9.712244897959202,41.190476190476204
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,1,5.348758439731455,5.348758439731455,5.348758439731455,43.0,71.42857142857142
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,1,5.348758439731455,,,,89.28571428571428
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,1,5.348758439731455,,,,107.14285714285715
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,1,5.348758439731455,,,,124.99999999999997
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,2,5.228758439731455,3.241928094887362,3.2304408387792516,9.552149370386466,19.25
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,2,5.228758439731455,5.228758439731455,5.228758439731455,41.0,39.62962962962961
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,2,5.228758439731455,,,,48.703703703703695
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,2,5.228758439731455,,,,83.33333333333331
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,2,5.228758439731455,,,,97.22222222222219
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,3,5.168367439558377,3.214379219865728,3.2633915095215116,9.479591836734695,48.9375
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,3,5.168367439558377,5.168367439558377,5.168367439558377,40.0,33.5
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,3,5.168367439558377,,,,62.500000000000014
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,3,5.168367439558377,,,,75.00000000000003
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,3,5.168367439558377,,,,87.50000000000003
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,4,4.940631000600121,3.2143792198657275,3.105357393620362,9.094981284078681,15.341666666666667
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,4,4.940631000600121,4.940631000600121,4.940631000600121,37.0,29.924999999999994
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,4,4.940631000600121,,,,32.0
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,4,4.940631000600121,,,,57.6923076923077
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,4,4.940631000600121,,,,67.3076923076923
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,5,5.196565630242719,3.301928094887362,3.253635411960535,9.475151503709732,38.66666666666668
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,5,5.196565630242719,5.196565630242719,5.196565630242719,41.0,71.5851851851852
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,5,5.196565630242719,,,,69.44444444444443
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,5,5.196565630242719,,,,83.33333333333331
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,5,5.196565630242719,,,,97.22222222222219
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,6,5.173660689688186,3.1419280948873625,3.229245168058096,9.484802431610952,48.250000000000014
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,6,5.173660689688186,5.173660689688186,5.173660689688186,40.0,40.0
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,6,5.173660689688186,,,,62.500000000000014
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,6,5.173660689688186,,,,75.00000000000003
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,6,5.173660689688186,,,,87.50000000000003
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,7,5.276565630242719,3.0992814698224587,3.2780256558629755,9.548620891464832,41.190476190476204
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,7,5.276565630242719,5.276565630242719,5.276565630242719,43.0,71.42857142857142
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,7,5.276565630242719,,,,89.28571428571428
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,7,5.276565630242719,,,,107.14285714285715
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,7,5.276565630242719,,,,124.99999999999997
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,8,5.253660689688186,3.241928094887362,3.2840993753646166,9.484981781796918,47.85714285714288
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,8,5.253660689688186,5.253660689688186,5.253660689688186,43.0,71.42857142857142
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,8,5.253660689688186,,,,89.28571428571428
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,200,0.7,8,5.253660689688186,,,,107.14285714285715
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,500,0.65,8,5.253660689688186,,,,124.99999999999997
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,10,0.85,9,5.17082650068666,3.2819280948873626,3.196294497315835,9.33987924326237,32.81875
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,50,0.8,9,5.17082650068666,5.17082650068666,5.17082650068666,42.0,62.49999999999997
poetry,GeorgeByron_ChildeHaroldsPilgrimage.txt,50,100,0.75,9,5.17082650068666,,,,78.12499999999999
