genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,OscarWilde_Poems.txt,50,10,0.85,0,5.196565630242719,3.1619280948873625,3.3072939485459014,9.475151503709728,32.53333333333333
poetry,OscarWilde_Poems.txt,50,50,0.8,0,5.196565630242719,5.196565630242719,5.196565630242719,41.0,55.55555555555553
poetry,OscarWilde_Poems.txt,50,100,0.75,0,5.196565630242719,,,,69.44444444444443
poetry,OscarWilde_Poems.txt,50,200,0.7,0,5.196565630242719,,,,83.33333333333331
poetry,OscarWilde_Poems.txt,50,500,0.65,0,5.196565630242719,,,,97.22222222222219
poetry,OscarWilde_Poems.txt,50,10,0.85,1,5.06146788019945,3.2419280948873626,3.227403979028429,9.211153693669893,25.919999999999998
poetry,OscarWilde_Poems.txt,50,50,0.8,1,5.06146788019945,5.06146788019945,5.06146788019945,40.0,40.19999999999999
poetry,OscarWilde_Poems.txt,50,100,0.75,1,5.06146788019945,,,,62.500000000000014
poetry,OscarWilde_Poems.txt,50,200,0.7,1,5.06146788019945,,,,75.00000000000003
poetry,OscarWilde_Poems.txt,50,500,0.65,1,5.06146788019945,,,,87.50000000000003
poetry,OscarWilde_Poems.txt,50,10,0.85,2,5.323856189774724,3.2819280948873626,3.3219280948873653,9.706122448979606,44.9375
poetry,OscarWilde_Poems.txt,50,50,0.8,2,5.323856189774724,5.323856189774724,5.323856189774724,42.0,62.49999999999997
poetry,OscarWilde_Poems.txt,50,100,0.75,2,5.323856189774724,,,,78.12499999999999
poetry,OscarWilde_Poems.txt,50,200,0.7,2,5.323856189774724,,,,93.75
poetry,OscarWilde_Poems.txt,50,500,0.65,2,5.323856189774724,,,,109.37499999999997
poetry,OscarWilde_Poems.txt,50,10,0.85,3,5.148758439731455,3.2419280948873626,3.209732972936145,9.478679982631355,20.307499999999997
poetry,OscarWilde_Poems.txt,50,50,0.8,3,5.148758439731455,5.148758439731455,5.148758439731455,39.0,27.4
poetry,OscarWilde_Poems.txt,50,100,0.75,3,5.148758439731455,,,,56.81818181818183
poetry,OscarWilde_Poems.txt,50,200,0.7,3,5.148758439731455,,,,68.1818181818182
poetry,OscarWilde_Poems.txt,50,500,0.65,3,5.148758439731455,,,,79.54545454545455
poetry,OscarWilde_Poems.txt,50,10,0.85,4,4.802781233674519,3.079281469822458,3.067528674097613,8.664641186600573,16.35833333333333
poetry,OscarWilde_Poems.txt,50,50,0.8,4,4.802781233674519,4.802781233674519,4.802781233674519,38.0,26.128571428571426
poetry,OscarWilde_Poems.txt,50,100,0.75,4,4.802781233674519,,,,52.083333333333336
poetry,OscarWilde_Poems.txt,50,200,0.7,4,4.802781233674519,,,,62.500000000000014
poetry,OscarWilde_Poems.txt,50,500,0.65,4,4.802781233674519,,,,72.91666666666667
poetry,OscarWilde_Poems.txt,50,10,0.85,5,5.158562939644916,3.261928094887362,3.1804646802532175,9.504081632653069,29.520000000000017
poetry,OscarWilde_Poems.txt,50,50,0.8,5,5.158562939644916,5.158562939644916,5.158562939644916,39.0,39.24999999999998
poetry,OscarWilde_Poems.txt,50,100,0.75,5,5.158562939644916,,,,43.7310606060606
poetry,OscarWilde_Poems.txt,50,200,0.7,5,5.158562939644916,,,,68.1818181818182
poetry,OscarWilde_Poems.txt,50,500,0.65,5,5.158562939644916,,,,79.54545454545455
poetry,OscarWilde_Poems.txt,50,10,0.85,6,5.291663380285988,3.2819280948873626,3.234123216838585,9.579233136362795,49.78571428571429
poetry,OscarWilde_Poems.txt,50,50,0.8,6,5.291663380285988,5.291663380285988,5.291663380285988,43.0,71.42857142857142
poetry,OscarWilde_Poems.txt,50,100,0.75,6,5.291663380285988,,,,89.28571428571428
poetry,OscarWilde_Poems.txt,50,200,0.7,6,5.291663380285988,,,,107.14285714285715
poetry,OscarWilde_Poems.txt,50,500,0.65,6,5.291663380285988,,,,124.99999999999997
poetry,OscarWilde_Poems.txt,50,10,0.85,7,4.978171939471839,3.0868303448440932,3.204209405847144,8.986780025350509,24.000000000000004
poetry,OscarWilde_Poems.txt,50,50,0.8,7,4.978171939471839,4.978171939471839,4.978171939471839,40.0,39.92
poetry,OscarWilde_Poems.txt,50,100,0.75,7,4.978171939471839,,,,62.500000000000014
poetry,OscarWilde_Poems.txt,50,200,0.7,7,4.978171939471839,,,,75.00000000000003
poetry,OscarWilde_Poems.txt,50,500,0.65,7,4.978171939471839,,,,87.50000000000003
poetry,OscarWilde_Poems.txt,50,10,0.85,8,5.283856189774724,3.1468303448440933,3.2243671192776078,9.569604863221901,34.0
poetry,OscarWilde_Poems.txt,50,50,0.8,8,5.283856189774724,5.283856189774724,5.283856189774724,43.0,47.71428571428571
poetry,OscarWilde_Poems.txt,50,100,0.75,8,5.283856189774724,,,,89.28571428571428
poetry,OscarWilde_Poems.txt,50,200,0.7,8,5.283856189774724,,,,107.14285714285715
poetry,OscarWilde_Poems.txt,50,500,0.65,8,5.283856189774724,,,,124.99999999999997
poetry,OscarWilde_Poems.txt,50,10,0.85,9,5.078562939644916,3.1619280948873625,3.1950988265946823,9.380720798957881,22.015000000000004
poetry,OscarWilde_Poems.txt,50,50,0.8,9,5.078562939644916,5.078562939644916,5.078562939644916,38.0,33.31999999999999
poetry,OscarWilde_Poems.txt,50,100,0.75,9,5.078562939644916,,,,47.54166666666667
poetry,OscarWilde_Poems.txt,50,200,0.7,9,5.078562939644916,,,,62.500000000000014
poetry,OscarWilde_Poems.txt,50,500,0.65,9,5.078562939644916,,,,72.91666666666667
