genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.85,0,5.388758439731455,3.301928094887362,3.2877817534239506,9.748979591836754,62.500000000000014
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.8,0,5.388758439731455,5.388758439731455,5.388758439731455,44.0,83.33333333333331
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.75,0,5.388758439731455,,,,104.16666666666667
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.7,0,5.388758439731455,,,,125.00000000000003
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.65,0,5.388758439731455,,,,145.83333333333334
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.85,1,5.211663380285988,3.181928094887362,3.2237216009690948,9.505763748607688,42.15000000000001
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.8,1,5.211663380285988,5.211663380285988,5.211663380285988,41.0,48.277777777777764
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.75,1,5.211663380285988,,,,69.44444444444443
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.7,1,5.211663380285988,,,,83.33333333333331
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.65,1,5.211663380285988,,,,97.22222222222219
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.85,2,5.523856189774724,3.261928094887362,3.2829037046434624,9.88979591836738,124.9999999999999
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.8,2,5.523856189774724,5.523856189774724,5.523856189774724,47.0,166.6666666666665
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.75,2,5.523856189774724,,,,208.33333333333314
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.7,2,5.523856189774724,,,,249.9999999999998
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.65,2,5.523856189774724,,,,291.6666666666664
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.85,3,5.063465189601647,3.1343792198657274,3.0992836741187193,9.276818516490781,23.639999999999997
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.8,3,5.063465189601647,5.063465189601647,5.063465189601647,39.0,25.839999999999993
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.75,3,5.063465189601647,,,,41.320346320346324
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.7,3,5.063465189601647,,,,68.1818181818182
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.65,3,5.063465189601647,,,,79.54545454545455
