genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,0,8.040291270754484,5.132095197186781,5.0721798524311,41.017711244575395,28.03861111111111
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,0,8.040291270754484,5.9723195026043285,5.756997586004393,74.5572353291912,44.40823671497585
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,0,8.040291270754484,7.287383565041884,7.079641181684452,265.93571875546644,68.82505345501956
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,0,8.040291270754484,8.039884764329555,8.039406309563496,681.7831084457678,108.07248803827751
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,0,8.040291270754484,,,,183.0421989774931
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,1,8.307093934728345,5.2810098337696,5.2123426030032425,42.228687085538695,37.840249221183804
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,1,8.307093934728345,6.071719427941414,5.966948983484952,77.36211486948476,68.70493946731234
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,1,8.307093934728345,7.452492855361735,7.402088070166033,284.8686639666018,121.48507177033494
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,1,8.307093934728345,8.306421287799642,8.308751876678937,760.7536231883952,202.59105
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,1,8.307093934728345,,,,320.0219487179487
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,2,8.121182334039146,5.276029383778255,5.177911128618544,42.23730504599678,33.728813559322035
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,2,8.121182334039146,5.988193640506084,5.898613109419372,76.0423534212577,51.76616666666666
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,2,8.121182334039146,7.376806141586966,7.315024452128172,263.01409312086963,83.83262500000001
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,2,8.121182334039146,8.120871002812146,8.119849783361017,655.8070964517658,135.47614492753624
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,2,8.121182334039146,,,,224.60724496426252
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,3,8.108548161868903,5.292358977851015,5.17598384766766,42.14664013165929,33.68595041322314
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,3,8.108548161868903,6.02492544042194,5.904628075850191,75.90183493513452,50.23475308641975
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,3,8.108548161868903,7.3933633651687645,7.311253715249933,262.6898075551089,83.17739229024944
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,3,8.108548161868903,8.108222834011709,8.108386050999012,650.8120939530154,135.78980645161292
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,3,8.108548161868903,,,,225.4474109772423
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,4,8.267687901782095,5.352558708791235,5.202770147391723,43.02428582197725,33.113388429752064
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,4,8.267687901782095,6.118186565350782,5.949469389305379,78.02112476649846,55.70164383561644
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,4,8.267687901782095,7.535191537833967,7.354901537675357,272.8000915905606,91.33090909090909
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,4,8.267687901782095,8.267486001905537,8.267777764154307,694.7831084457678,145.344
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,4,8.267687901782095,,,,237.67182662538698
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,5,8.255522806581908,5.329590821880507,5.191568305518941,42.38087777111183,36.616727272727275
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,5,8.255522806581908,6.150164899915287,5.939393768736052,76.87155097324887,56.801830985915494
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,5,8.255522806581908,7.445878540655103,7.391839659398481,275.8798580149668,103.45992110453649
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,5,8.255522806581908,8.255009216551546,8.25444614801559,734.7546226886451,169.53939655172414
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,5,8.255522806581908,,,,269.8994871794872
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,6,8.128984054658758,5.20008104687618,5.162888568290354,41.555194240326955,33.74344444444445
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,6,8.128984054658758,6.055496774494062,5.881096957936021,75.1152544826252,55.53567123287671
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,6,8.128984054658758,7.3396717827612505,7.2630191933429185,269.1528580475117,81.90312
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,6,8.128984054658758,8.128550159603517,8.128155404840939,710.7711144427687,141.80629310344827
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,6,8.128984054658758,,,,224.14396545908386
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,7,8.328025440077326,5.291248664727128,5.231154401446251,42.980176815803205,36.919636363636364
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,7,8.328025440077326,6.080518903386202,5.990663758775928,78.49428628512318,63.25396825396825
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,7,8.328025440077326,7.531954973574041,7.42615966446081,279.61730668446637,109.33894736842106
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,7,8.328025440077326,8.327832549641618,8.32824263246357,731.768615692144,184.4081661442006
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,7,8.328025440077326,,,,254.79250000000002
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,8,8.139065657212981,5.27541637080534,5.178605418747794,42.136369787736314,35.12133333333333
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,8,8.139065657212981,5.914181736681039,5.915573212821258,76.37513854377417,55.14006088280061
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,8,8.139065657212981,7.3979526642311315,7.334225182649386,266.80761366488997,91.78312539184952
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,8,8.139065657212981,8.139514012500547,8.139195432578472,664.7996001998914,157.38317307692307
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,8,8.139065657212981,,,,252.06231900452488
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,50,0.84,9,8.192236928096698,5.282519608773928,5.194983359108469,42.237110733623624,35.423508771929825
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,100,0.78,9,8.192236928096698,6.021313055984846,5.914791407825815,76.22921781179114,60.28708173418621
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,500,0.72,9,8.192236928096698,7.44869761421198,7.322846857412093,269.3228063501642,91.13816045294307
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,2000,0.66,9,8.192236928096698,8.192065383196312,8.194153920492305,713.7646176911443,162.5777243589744
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2001,5000,0.6,9,8.192236928096698,,,,238.69066739176407
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,50,0.84,0,8.37346395275928,5.260029383778255,5.208181759802844,42.59232924590242,37.267175572519086
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,100,0.78,0,8.37346395275928,5.99654352069498,5.9487331123745815,77.8284641574375,58.93073170731707
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,500,0.72,0,8.37346395275928,7.437359566688949,7.385477549120061,280.17734905085075,98.69746938775509
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,2000,0.66,0,8.37346395275928,8.298115948555036,8.281966793775384,727.6420003830405,170.05604355716878
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,5000,0.6,0,8.37346395275928,,,,269.982761024534
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,50,0.84,1,8.447271696398044,5.302120146893488,5.2199032987940805,43.06132896239836,38.08692913385827
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,100,0.78,1,8.447271696398044,6.09853941208902,5.977582015933489,78.51087667519997,65.7735135135135
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,500,0.72,1,8.447271696398044,7.517880828918014,7.429607778321224,282.0308433281168,103.20390070921985
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,2000,0.66,1,8.447271696398044,8.355589498533838,8.346838217348541,754.4185851005502,168.59819540229884
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,5000,0.6,1,8.447271696398044,,,,272.6796296296296
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,50,0.84,2,8.308793688916456,5.290068483795562,5.21005107563161,42.377042216726394,38.63348837209302
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,100,0.78,2,8.308793688916456,6.046780821930033,5.943115997267482,76.98922924977887,62.08278481012658
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,500,0.72,2,8.308793688916456,7.4542824193306405,7.364302690448728,273.93234557445885,107.87581699346407
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,2000,0.66,2,8.308793688916456,8.241773945134863,8.227461905466358,711.7413006948722,173.30505494505496
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,5000,0.6,2,8.308793688916456,,,,257.5866028708134
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,50,0.84,3,8.189144409312608,5.213107672040135,5.156309048615152,41.80453221946679,32.1
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,100,0.78,3,8.189144409312608,6.00623548448605,5.881816750149728,75.99853208809355,50.36975
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,500,0.72,3,8.189144409312608,7.35468940645635,7.262696056936653,267.7548968407658,86.3157142857143
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2421,2000,0.66,3,8.189144409312608,8.115961313674175,8.084834416684224,668.1059050120465,139.15425766614337
