genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,0,8.014610301447982,5.296440897797647,5.2175762088307955,42.19863332472839,37.89622641509434
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,0,8.014610301447982,6.0388056576094655,5.931037063011194,74.87989508636035,60.156716417910445
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,0,8.014610301447982,7.328660835524148,7.28101875792252,249.49671925191086,87.63839130434783
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,0,8.014610301447982,8.014610301447982,8.014610301447982,618.0,135.64941666666667
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,0,8.014610301447982,,,,203.17
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,1,8.068823184312643,5.310498573188952,5.226783320778228,42.55662765342548,39.250438095238096
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,1,8.068823184312643,6.063276336281147,5.954291906613231,75.92000595706618,59.632324093816635
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,1,8.068823184312643,7.3768974767708,7.272164432457686,251.61266781506157,91.72257575757577
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,1,8.068823184312643,8.068823184312643,8.068823184312643,634.0,143.87430010604456
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,1,8.068823184312643,,,,212.95093365597901
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,2,8.148288815055624,5.331333653137059,5.25642175393972,42.9778479825429,42.54255319148936
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,2,8.148288815055624,6.098291767516694,5.971930156795323,77.05428362390788,64.02684807256236
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,2,8.148288815055624,7.43968996116229,7.362181208967404,258.7124291415118,96.40009523809525
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,2,8.148288815055624,8.148288815055624,8.148288815055624,640.0,155.90130036630038
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,2,8.148288815055624,,,,225.89045383411582
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,3,8.191950763947409,5.29053972004997,5.1840632878956265,42.21249896814161,32.063253333333336
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,3,8.191950763947409,6.034692489234974,5.911124876545047,75.76232624455105,54.565333333333335
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,3,8.191950763947409,7.4027430463118105,7.302754939672585,268.0793129707295,88.21333333333332
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,3,8.191950763947409,8.191950763947409,8.191950763947409,729.0,135.66915750915751
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,3,8.191950763947409,,,,208.06
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,4,8.144210730586709,5.313155277333282,5.188307802178367,42.528603974044906,34.05128205128205
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,4,8.144210730586709,6.058744078689732,5.9070215571915075,76.04792918854031,53.467933333333335
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,4,8.144210730586709,7.401147331272031,7.293861220378544,259.7638110467777,85.10468085106383
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,4,8.144210730586709,8.144210730586709,8.144210730586709,685.0,128.92726655348048
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,4,8.144210730586709,,,,190.48594657375145
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,5,8.188492475339894,5.316771367445915,5.2597124944712474,42.737605291461755,42.294315789473686
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,5,8.188492475339894,6.07524011875929,6.00016263914884,76.88606812274489,68.19341404358353
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,5,8.188492475339894,7.448145279222365,7.379936081218885,265.5507347743756,104.6163708086785
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,5,8.188492475339894,8.188492475339894,8.188492475339894,674.0,167.94733333333332
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,5,8.188492475339894,,,,253.58848288621647
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,6,8.208892045424973,5.291631275137182,5.237675526826888,42.149826522379385,38.52269230769231
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,6,8.208892045424973,6.038640145818241,5.970748183659535,75.81290596273948,63.24007291666667
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,6,8.208892045424973,7.414855924802585,7.332581064720754,272.57027579089896,106.05820033955858
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,6,8.208892045424973,8.208892045424973,8.208892045424973,723.0,167.25308
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,6,8.208892045424973,,,,256.6961147592245
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,7,8.07104019659636,5.2356420243203745,5.11700203863886,41.46743310743233,28.119718309859156
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,7,8.07104019659636,5.979781966067207,5.821023712237285,74.44785823989058,43.260000000000005
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,7,8.07104019659636,7.3247115949647466,7.197232383896876,262.88027222758933,68.07601694915253
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,7,8.07104019659636,8.07104019659636,8.07104019659636,681.0,109.75527027027027
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,7,8.07104019659636,,,,173.34782608695653
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,8,8.042598392922939,5.272911850920514,5.141495389422163,41.89715390210131,30.831384615384614
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,8,8.042598392922939,6.008941529113765,5.857429291386492,74.71889225011044,47.86142857142857
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,8,8.042598392922939,7.324982183508608,7.176602372986003,254.53553710993248,73.50254545454546
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,8,8.042598392922939,8.042598392922939,8.042598392922939,655.0,122.48452250359824
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,8,8.042598392922939,,,,177.10186335403728
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,50,0.84,9,7.845051903696241,5.205144226868079,5.0944027553549,40.665352314355516,28.112676056338028
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,100,0.78,9,7.845051903696241,5.9183149867578795,5.765938490149156,71.99893964522849,40.39741414141414
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,500,0.72,9,7.845051903696241,7.1709796672650645,7.053816005180334,242.66132787397686,60.64010101010101
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,2000,0.66,9,7.845051903696241,7.845051903696241,7.845051903696241,613.0,87.27260869565217
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2000,5000,0.6,9,7.845051903696241,,,,124.84375
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,0,8.324641360893562,5.3292144488696245,5.219902648217971,42.88299625935399,37.086717557251916
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,0,8.324641360893562,6.093299135242142,5.9748995509025145,77.19270097553348,60.617283950617285
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,0,8.324641360893562,7.466930527606367,7.3904137494841216,268.2627108310955,99.27934693877552
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,0,8.324641360893562,8.240371859595973,8.252529487626168,715.7906959353965,148.36326446280992
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,0,8.324641360893562,,,,243.6606572104019
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,1,7.9949548939394,5.253768442072476,5.197775339846812,41.41305839752257,35.35766423357664
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,1,7.9949548939394,5.975311322690061,5.900920839443375,73.28552854304976,56.03205254515599
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,1,7.9949548939394,7.239076061889138,7.188499609621053,244.6020964481468,87.30828571428572
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,1,7.9949548939394,7.925640914931768,7.910585383766924,624.5568197275591,132.62016216216216
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,1,7.9949548939394,,,,200.95833333333334
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,2,8.344048208816359,5.311912328360365,5.230416853023287,42.74672420269327,37.61271317829458
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,2,8.344048208816359,6.081517383376393,5.96821022518477,77.16107641355171,62.83971153846153
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,2,8.344048208816359,7.47244098875509,7.39641085836297,272.62691389896753,97.76439999999998
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,2,8.344048208816359,8.261095622498324,8.27163752300266,725.0956789333251,163.37563050314463
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,2,8.344048208816359,,,,270.069237405107
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,3,8.265521790889597,5.249550419874415,5.145764253321129,41.70526697553431,32.91591946308725
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,3,8.265521790889597,5.99607830613029,5.861374850674831,75.38508675026637,50.97461340206186
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,3,8.265521790889597,7.376909539024374,7.292974304723905,273.0119634073429,80.38618579234974
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,3,8.265521790889597,8.180571632941959,8.167781433368813,736.6746687579368,139.441926910299
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,3,8.265521790889597,,,,247.2176296296296
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,4,7.913741917298706,5.223428068779173,5.172526267748526,40.847111760358565,33.79751724137931
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,4,7.913741917298706,5.935195594029911,5.87257764400135,72.08591775839055,52.53311827956989
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,4,7.913741917298706,7.1774418996415,7.158885187640318,240.9794133886621,82.18333333333334
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,4,7.913741917298706,7.846351339682526,7.871195877815061,609.418532876514,123.6685
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,4,7.913741917298706,,,,178.77916666666667
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,5,8.000048408588562,5.181606391905827,5.049666938735144,40.3465538677798,25.76723404255319
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,5,8.000048408588562,5.890195042530117,5.715059217934143,71.84989965461129,40.08802833530107
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,5,8.000048408588562,7.183979385922943,7.026330682298316,253.33993413117582,58.55982475355969
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,5,8.000048408588562,7.922348522325031,7.909429563135744,682.0896103417556,88.67615584415583
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,5,8.000048408588562,,,,138.90293135435994
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,6,8.116430289134385,5.253372467294005,5.142005883119881,41.6269493842702,31.503225806451614
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,6,8.116430289134385,5.997968649976555,5.852054966098577,74.45256475550703,45.505864485981306
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,6,8.116430289134385,7.316908757747623,7.167221615883019,256.6929436815344,71.60425000000001
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,6,8.116430289134385,8.040418558909286,8.02818138246029,666.3269747393912,122.15765416666667
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,6,8.116430289134385,,,,181.15837962962965
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,7,8.111967437174972,5.251014041692759,5.157764603600687,41.48109652407812,33.090810810810815
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,7,8.111967437174972,5.978098418418665,5.871331808538228,73.9131359680875,52.05081053698075
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,7,8.111967437174972,7.294285102049375,7.205369883305244,256.51893860363026,84.2544396551724
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,7,8.111967437174972,8.033292925798678,8.03242839163653,680.4322352059019,130.26594736842105
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,7,8.111967437174972,,,,203.70922222222222
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,8,7.954001391890261,5.221140789379142,5.0921485930190835,40.9300982738611,28.092254335260115
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,8,7.954001391890261,5.940393568631911,5.751739441403565,72.43744701597721,42.39565217391304
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,8,7.954001391890261,7.1978742320037,7.007655611820601,244.12043602525534,63.08706414797324
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,8,7.954001391890261,7.88634137571524,7.836881576994001,625.0151351687813,92.46499056603773
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,8,7.954001391890261,,,,142.68872549019608
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,50,0.84,9,8.01770479919121,5.222279705787127,5.1020721242724125,41.00896246336158,28.630117647058828
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,100,0.78,9,8.01770479919121,5.944568595220173,5.784474287868163,73.03095458089996,43.892085967130214
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,500,0.72,9,8.01770479919121,7.238012558259898,7.077800783171246,251.53110077481028,66.35697777777779
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,2000,0.66,9,8.01770479919121,7.944564712242196,7.909920191236473,646.2543109205333,99.43896103896103
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2422,5000,0.6,9,8.01770479919121,,,,154.33412384716732
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2931,50,0.84,0,8.339880705441006,5.311697580079642,5.201369591124427,42.59171445977756,36.65075
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2931,100,0.78,0,8.339880705441006,6.069333059860992,5.910884055853606,76.39441020227223,52.44730158730158
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2931,500,0.72,0,8.339880705441006,7.423692396959005,7.284520309787882,264.5729668598981,81.50217777777777
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2931,2000,0.66,0,8.339880705441006,8.186348086324498,8.159665725893454,699.9346764541771,131.3477738095238
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2931,5000,0.6,0,8.339880705441006,,,,197.0812082670906
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2931,50,0.84,1,8.53005688485229,5.312771437720226,5.179715502180526,42.77186393038536,32.40810256410256
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2931,100,0.78,1,8.53005688485229,6.084615992047578,5.91360261125164,77.40069128928612,53.12059523809524
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2931,500,0.72,1,8.53005688485229,7.500111954899119,7.350299867148969,280.6066158674405,86.8848695652174
