genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,0,8.743484586130156,5.265507133920574,5.280551164826441,43.806546065698285,48.0087012987013
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,0,8.743484586130156,6.185184615003115,6.060602863099562,81.40043723943562,85.26844517184944
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,0,8.743484586130156,7.742822988744794,7.673246653731822,318.5145806376073,151.48592592592593
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,0,8.743484586130156,8.743474993117085,8.742463186578075,937.6546726636533,273.9245473684211
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,0,8.743484586130156,,,,511.58526785714287
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,1,8.597233387735217,5.392758439731455,5.2695381690944805,43.58594890382734,47.141176470588235
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,1,8.597233387735217,6.129884224977793,6.032330881049485,80.00023736203319,76.57454716981132
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,1,8.597233387735217,7.701804943364084,7.496773437832722,303.6603655696124,119.74917112299465
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,1,8.597233387735217,8.596855992117867,8.597891768803823,866.6861569215257,195.5031746031746
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,1,8.597233387735217,,,,335.42149463885943
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,2,8.579986703667402,5.1729134290252325,5.073226630703532,41.84034448140087,26.098441558441557
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,2,8.579986703667402,5.956378075778382,5.798481167249907,77.75452871128195,40.81122448979592
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,2,8.579986703667402,7.559227011424203,7.354484308800087,317.0634156615338,66.0544262295082
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,2,8.579986703667402,8.579398015636988,8.581014765376132,958.6416791604044,140.092
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,2,8.579986703667402,,,,254.8925
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,3,8.39896364780832,5.368758439731455,5.22004959364971,42.987196851129795,37.594339622641506
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,3,8.39896364780832,6.029431677848619,5.975889516502695,78.30901338925126,67.0472
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,3,8.39896364780832,7.528313645420281,7.486619052014238,286.8359608473873,109.62994594594595
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,3,8.39896364780832,8.398618562900731,8.398767982510458,785.7331334332719,171.1708269230769
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,3,8.39896364780832,,,,274.2641568627451
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,4,8.356820747385042,5.279100596884834,5.168590819749651,41.92560194424069,35.115614035087724
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,4,8.356820747385042,6.0800978836419315,5.903152508200272,76.65909529294743,60.41331911869225
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,4,8.356820747385042,7.450250534051095,7.3729406489538745,289.2735829544942,104.02469743589744
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,4,8.356820747385042,8.356267435879507,8.357331892670677,843.6811594202761,170.44619047619048
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,4,8.356820747385042,,,,296.6357709750567
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,5,8.490964983865513,5.287551721863199,5.180065009557804,42.171874490773256,36.10142857142857
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,5,8.490964983865513,5.986453416835321,5.921959986550892,77.13058638639312,61.69
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,5,8.490964983865513,7.544591797618358,7.40533450250502,300.6852562514203,99.58105006105006
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,5,8.490964983865513,8.490625622236875,8.491369523349553,914.6491754122787,157.69429708222813
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,5,8.490964983865513,,,,295.2045112781955
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,6,8.629306652847891,5.363248664727128,5.259626696211492,43.47918551669815,43.131412186379926
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,6,8.629306652847891,6.183990283760947,6.035961317095613,79.70470513566805,77.13019230769231
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,6,8.629306652847891,7.636562645489856,7.610802226769021,305.8665657259154,138.73793103448276
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,6,8.629306652847891,8.628923355351393,8.631045477843568,911.6536731634034,226.55653664302602
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,6,8.629306652847891,,,,404.1499453949764
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,7,8.479678282811411,5.158701135004394,5.04688473491388,41.00399079439912,26.67528888888889
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,7,8.479678282811411,5.881988223779312,5.77636522799308,75.67272018864792,43.66010869565218
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,7,8.479678282811411,7.3996012363546315,7.353154815469053,307.91695106851733,77.07165384615385
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,7,8.479678282811411,8.479045613826205,8.480284438214433,1002.5857071464089,174.3772791023843
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,7,8.479678282811411,,,,365.9844952593419
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,8,8.561167400424551,5.390268214735782,5.25431351932622,43.8005009273887,43.67086956521739
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,8,8.561167400424551,6.1063284398800315,6.009369637266542,80.34244883083753,71.62152046783626
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,8,8.561167400424551,7.620045263213653,7.5205843139198505,297.9288821561253,110.55063063063064
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,8,8.561167400424551,8.561043293586277,8.560901682774244,830.7151424287733,195.25324675324677
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,8,8.561167400424551,,,,314.6810170221935
literature,JamesJoyce_Ulysses.txt,2001,50,0.84,9,8.348473933393226,5.2872486647271275,5.180337668007375,42.37584171931737,32.81872495446266
literature,JamesJoyce_Ulysses.txt,2001,100,0.78,9,8.348473933393226,6.067354899964813,5.9069075922453615,76.57221074708967,53.59350563909775
literature,JamesJoyce_Ulysses.txt,2001,500,0.72,9,8.348473933393226,7.511971026657067,7.343193005322586,282.34033708149167,82.7092
literature,JamesJoyce_Ulysses.txt,2001,2000,0.66,9,8.348473933393226,8.347370989678321,8.348545465448225,824.6896551724004,115.88981843771991
literature,JamesJoyce_Ulysses.txt,2001,5000,0.6,9,8.348473933393226,,,,203.4868115942029
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,0,8.69902510327643,5.301738889722801,5.272906686732782,43.649135628436355,48.27017821782179
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,0,8.69902510327643,6.102274584503356,6.035631884992025,80.32007745881435,80.45722950819672
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,0,8.69902510327643,7.679510206949265,7.540191717239585,303.11094287102776,125.30549999999998
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,0,8.69902510327643,8.586494387118883,8.587847263851122,862.9183478780996,214.25531655225018
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,0,8.69902510327643,,,,354.29041820685654
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,1,8.44048332474147,5.271500058765274,5.274077581146426,42.83274492689168,42.649824561403506
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,1,8.44048332474147,6.084576924876345,6.0017060409582035,77.54169772352904,76.51503472222223
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,1,8.44048332474147,7.537010055143402,7.429732357635539,280.94935859296055,118.37166666666666
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,1,8.44048332474147,8.351660952234047,8.316010901516995,780.5897764443168,188.57393258426967
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,1,8.44048332474147,,,,306.78718830216354
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,2,8.819159081663937,5.430268214735782,5.337290622836385,44.404302245126416,56.22942528735632
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,2,8.819159081663937,6.238745171263112,6.141781804806326,82.23728589932566,100.15608843537416
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,2,8.819159081663937,7.778409833634434,7.7058350109574905,310.08017561792695,164.33599999999998
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,2,8.819159081663937,8.703012910477263,8.728924755497678,883.6474795745767,286.4127121212121
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,2,8.819159081663937,,,,484.161780104712
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,3,8.70521459673893,5.321539158782582,5.240318832529247,43.051511517842115,40.32711111111111
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,3,8.70521459673893,6.017715813511854,6.019804475088382,78.7278236245754,67.4746164021164
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,3,8.70521459673893,7.531689863210184,7.579164699368746,303.18526183344176,111.08181818181819
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,3,8.70521459673893,8.602704878741335,8.608081027553158,932.7381217273987,190.2893023255814
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,3,8.70521459673893,,,,377.25633773633774
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,4,8.155073294302353,5.314719339714148,5.233154829118331,41.76170561625172,39.5609756097561
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,4,8.155073294302353,5.934525978541504,5.960460319359068,74.61241496047069,64.74764444444445
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,4,8.155073294302353,7.318651864900714,7.299923656445581,258.65663761683624,105.93811498855834
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,4,8.155073294302353,8.061644566364027,8.082149527781649,689.7900929336789,163.8299090909091
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,4,8.155073294302353,,,,245.34706033376125
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,5,8.16117022007543,5.20881010282938,5.2454058011418745,41.71279471014988,44.359292035398234
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,5,8.16117022007543,5.973283610006325,5.97201542318502,74.55106002972573,67.1409589041096
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,5,8.16117022007543,7.372576904159034,7.270873837980642,260.42050156129136,108.8835
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,5,8.16117022007543,8.089389093377381,8.048676281416597,691.4304635328442,168.1428448275862
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,5,8.16117022007543,,,,258.13157894736844
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,6,8.516928520208605,5.246120146893488,5.240310714915681,42.0547480423875,42.37448275862069
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,6,8.516928520208605,6.024616741656737,5.982133044786348,76.63957179970137,73.60304477611939
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,6,8.516928520208605,7.459235028362867,7.422798902086437,291.2184724504344,122.05651212121211
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,6,8.516928520208605,8.399870039049203,8.390203957568582,885.3147777481721,213.10195652173914
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,6,8.516928520208605,,,,353.77376199118487
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,7,8.093260069456916,5.220480508756619,5.249333077568626,41.76857678233007,41.69827586206897
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,7,8.093260069456916,5.982012831038699,5.974146359384334,74.33777070546756,65.95667567567567
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,7,8.093260069456916,7.328119593214656,7.271012400780389,252.78484239278956,99.94276295133439
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,7,8.093260069456916,8.029066706714566,8.016327510761881,652.9958622010146,155.33710227272726
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,7,8.093260069456916,,,,243.75480392156865
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,8,8.649411221922048,5.310068483795561,5.204821193434974,43.15821996967934,36.65925925925926
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,8,8.649411221922048,6.119635574902306,5.976879859005734,78.88597024531424,61.03380000000001
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,8,8.649411221922048,7.586283453713207,7.51639176457579,298.35379882327294,105.12521739130435
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,8,8.649411221922048,8.545804656708295,8.555724319795797,884.1219198449805,169.98580459770113
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,8,8.649411221922048,,,,288.13244990303815
literature,JamesJoyce_Ulysses.txt,2421,50,0.84,9,8.724249231574252,5.4355782587998895,5.260771821545377,43.767440929101284,43.89985454545455
literature,JamesJoyce_Ulysses.txt,2421,100,0.78,9,8.724249231574252,6.157323580490532,6.018578104063605,80.59525104017233,73.17250746268657
literature,JamesJoyce_Ulysses.txt,2421,500,0.72,9,8.724249231574252,7.677029057166635,7.527450486614663,305.93452585118825,123.07941891891895
literature,JamesJoyce_Ulysses.txt,2421,2000,0.66,9,8.724249231574252,8.618120456175422,8.564568741878855,864.520254081853,209.42567708333334
literature,JamesJoyce_Ulysses.txt,2421,5000,0.6,9,8.724249231574252,,,,348.9412204772258
literature,JamesJoyce_Ulysses.txt,2931,50,0.84,0,8.806980014791996,5.390797539748763,5.292805891774011,44.257428295688555,48.702977353225286
literature,JamesJoyce_Ulysses.txt,2931,100,0.78,0,8.806980014791996,6.1486292933619975,6.054933266350728,81.3076019640076,82.05180902497985
literature,JamesJoyce_Ulysses.txt,2931,500,0.72,0,8.806980014791996,7.711796848067159,7.519827370615948,300.57678567652727,124.63321759259259
literature,JamesJoyce_Ulysses.txt,2931,2000,0.66,0,8.806980014791996,8.618512558979562,8.481969923631421,835.3922934976597,212.28878263659968
literature,JamesJoyce_Ulysses.txt,2931,5000,0.6,0,8.806980014791996,,,,329.93804249390456
literature,JamesJoyce_Ulysses.txt,2931,50,0.84,1,8.379653092833916,5.2610098337696005,5.2019744992468375,41.634219181934014,36.88603773584906
literature,JamesJoyce_Ulysses.txt,2931,100,0.78,1,8.379653092833916,6.078358437542462,5.92007914666065,74.68597285086402,56.512
literature,JamesJoyce_Ulysses.txt,2931,500,0.72,1,8.379653092833916,7.369756017011026,7.297886782004189,270.79762507185535,90.8443076923077
literature,JamesJoyce_Ulysses.txt,2931,2000,0.66,1,8.379653092833916,8.200216161095476,8.144142705004507,785.3513402693412,147.79326
literature,JamesJoyce_Ulysses.txt,2931,5000,0.6,1,8.379653092833916,,,,245.74610516934047
literature,JamesJoyce_Ulysses.txt,2931,50,0.84,2,8.676508251116276,5.233261227807747,5.248244387585529,42.41721272303293,44.07308270676691
literature,JamesJoyce_Ulysses.txt,2931,100,0.78,2,8.676508251116276,6.059106249889326,6.0032115856332595,77.66179242879426,77.51310748134703
literature,JamesJoyce_Ulysses.txt,2931,500,0.72,2,8.676508251116276,7.470831056940168,7.461076003951791,297.18243423955875,129.7887256371814
literature,JamesJoyce_Ulysses.txt,2931,2000,0.66,2,8.676508251116276,8.478172556616585,8.41916473718035,882.3578381458536,227.6290895792242
literature,JamesJoyce_Ulysses.txt,2931,5000,0.6,2,8.676508251116276,,,,422.17299732977307
literature,JamesJoyce_Ulysses.txt,2931,50,0.84,3,8.894984431646082,5.427326864761744,5.258981264501181,43.84254644070986,45.376124031007755
literature,JamesJoyce_Ulysses.txt,2931,100,0.78,3,8.894984431646082,6.149019652887562,6.019485165949292,80.96633165727687,79.1309649122807
literature,JamesJoyce_Ulysses.txt,2931,500,0.72,3,8.894984431646082,7.750337276951351,7.554546751977319,311.75779802326025,119.4752738990333
literature,JamesJoyce_Ulysses.txt,2931,2000,0.66,3,8.894984431646082,8.685243011833084,8.68956512787966,902.501848255696,206.0862413793103
literature,JamesJoyce_Ulysses.txt,2931,5000,0.6,3,8.894984431646082,,,,330.2408855664175
literature,JamesJoyce_Ulysses.txt,2931,50,0.84,4,8.441902586138983,5.25753915878258,5.128435568979053,41.887814920131234,31.909016216216216
literature,JamesJoyce_Ulysses.txt,2931,100,0.78,4,8.441902586138983,6.0242096529370865,5.827245394589336,75.84640712097158,51.20991379310345
literature,JamesJoyce_Ulysses.txt,2931,500,0.72,4,8.441902586138983,7.416039459737119,7.181799754154414,278.6825492270013,77.84464912280703
literature,JamesJoyce_Ulysses.txt,2931,2000,0.66,4,8.441902586138983,8.250432238246903,8.189113020107952,788.500199518745,121.59804535147391
literature,JamesJoyce_Ulysses.txt,2931,5000,0.6,4,8.441902586138983,,,,210.8112895876054
literature,JamesJoyce_Ulysses.txt,2931,50,0.84,5,8.412867717050323,5.199016908924902,5.135016471693119,41.60126631125228,33.027677902621726
literature,JamesJoyce_Ulysses.txt,2931,100,0.78,5,8.412867717050323,5.927474568750016,5.833992700416882,75.14961196853108,49.33053221288516
literature,JamesJoyce_Ulysses.txt,2931,500,0.72,5,8.412867717050323,7.376845810179779,7.242726397281742,275.6714929497411,86.54529411764706
literature,JamesJoyce_Ulysses.txt,2931,2000,0.66,5,8.412867717050323,8.215419860431764,8.183969019766183,799.813562615013,136.9287967644085
literature,JamesJoyce_Ulysses.txt,2931,5000,0.6,5,8.412867717050323,,,,218.34175683110212
literature,JamesJoyce_Ulysses.txt,2931,50,0.84,6,8.866878274706153,5.25208104687618,5.188902233079187,42.17388350565661,38.423006535947714
literature,JamesJoyce_Ulysses.txt,2931,100,0.78,6,8.866878274706153,6.041044227364887,5.942384327172218,78.14426349371072,69.74671957671957
literature,JamesJoyce_Ulysses.txt,2931,500,0.72,6,8.866878274706153,7.557115490787316,7.484338688178977,314.9942002518461,127.79492753623188
literature,JamesJoyce_Ulysses.txt,2931,2000,0.66,6,8.866878274706153,8.639700971651946,8.627451943057967,1004.6681090865188,229.03285714285715
