genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,0,8.143427106116818,5.3151396909412565,5.208007627298615,42.530626427427286,36.42276363636364
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,0,8.143427106116818,6.0662829214087735,5.935957552895222,76.33513342449716,61.89457070707071
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,0,8.143427106116818,7.412810021958006,7.338009993881273,261.7272382714328,93.79279931093885
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,0,8.143427106116818,8.143427106116818,8.143427106116818,665.0,151.8239543583988
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,0,8.143427106116818,,,,223.80263976713843
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,1,8.296698034616558,5.340361382849074,5.289561065929032,43.12536117856094,46.10344827586207
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,1,8.296698034616558,6.104092108646103,6.03872354091927,77.87418672405691,77.7473076923077
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,1,8.296698034616558,7.507679620804437,7.433608298995708,273.23603208155043,116.3112380952381
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,1,8.296698034616558,8.296698034616558,8.296698034616558,725.0,169.87396527777778
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,1,8.296698034616558,,,,262.4583333333333
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,2,8.087228215186048,5.298148130351909,5.21262857632154,42.31253367387913,38.009142857142855
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,2,8.087228215186048,6.050382012682141,5.927046921086968,75.73266546823328,60.05143513203215
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,2,8.087228215186048,7.373411226923061,7.26234956232525,257.5320656514125,88.93458937198068
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,2,8.087228215186048,8.087228215186048,8.087228215186048,642.0,136.98730913978494
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,2,8.087228215186048,,,,208.32000000000002
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,3,8.169307091249797,5.293679646697774,5.234780767912065,42.32449354740673,39.71941176470588
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,3,8.169307091249797,6.041881176522672,5.96865498283083,76.30091691421434,67.86128571428571
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,3,8.169307091249797,7.410575849720593,7.3307743428792,266.13885070440773,106.24990712074303
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,3,8.169307091249797,8.169307091249797,8.169307091249797,695.0,161.13701923076923
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,3,8.169307091249797,,,,251.9721724524076
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,4,8.133410567529285,5.298473592005612,5.195568617494387,42.459765402807065,35.34300884955752
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,4,8.133410567529285,6.052813636029475,5.922162526165665,76.19215125728626,51.76103896103896
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,4,8.133410567529285,7.4042289110393495,7.29077554635361,261.5704564640321,86.94286445012789
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,4,8.133410567529285,8.133410567529285,8.133410567529285,661.0,143.79205073696144
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,4,8.133410567529285,,,,224.05403329065302
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,5,8.076943544424482,5.2994741598820125,5.246737427966505,42.2813910474564,38.66990291262136
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,5,8.076943544424482,6.0436266538794365,5.950768304034271,75.57488605716463,59.0693487394958
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,5,8.076943544424482,7.3636676091219915,7.231575308196275,255.38926110432004,91.88653562653563
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,5,8.076943544424482,8.076943544424482,8.076943544424482,648.0,142.96732142857144
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,5,8.076943544424482,,,,206.89545150501672
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,6,8.106786953380373,5.275034045344838,5.202186465777389,41.9169534695217,35.83783783783784
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,6,8.106786953380373,6.013529554056471,5.909982174288508,74.98018131842018,55.372904109589044
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,6,8.106786953380373,7.352018324156098,7.263100629013433,261.99552073237976,88.22222222222223
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,6,8.106786953380373,8.106786953380373,8.106786953380373,686.0,143.49684956395348
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,6,8.106786953380373,,,,222.7920879120879
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,7,8.236822555939348,5.315726443682757,5.214610658063933,42.73236187272066,36.36036036036036
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,7,8.236822555939348,6.076096567422344,5.947710523516804,77.09384978503746,58.76441176470588
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,7,8.236822555939348,7.470437146947293,7.366148590650426,271.33580676304365,98.07603658536586
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,7,8.236822555939348,8.236822555939348,8.236822555939348,699.0,156.75244755244756
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,7,8.236822555939348,,,,250.287325
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,8,8.066437820027483,5.292664294418436,5.199649586145613,42.25375681254533,34.768
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,8,8.066437820027483,6.041782558668563,5.924240456810071,75.6081570830471,57.88333333333333
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,8,8.066437820027483,7.371103041692251,7.255468669389472,256.08790794607677,84.7872340425532
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,8,8.066437820027483,8.066437820027483,8.066437820027483,629.0,135.2760722222222
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,8,8.066437820027483,,,,203.86561253561254
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,50,0.84,9,8.249704565423816,5.327294249921384,5.2403632871032615,42.929816473493446,39.29023172905526
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,100,0.78,9,8.249704565423816,6.094179047984583,5.987353635661663,77.41051429137698,66.10948087431694
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,500,0.72,9,8.249704565423816,7.478447474369748,7.388201159945365,270.48164564205564,103.47720797720798
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,2000,0.66,9,8.249704565423816,8.249704565423816,8.249704565423816,702.0,167.8981818181818
literature,LucyMontgomery_AnneOfGreenGables.txt,2000,5000,0.6,9,8.249704565423816,,,,267.5325786163522
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,50,0.84,0,8.075441721067019,5.287857185165438,5.220184235807246,42.00835030437727,37.41860465116279
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,100,0.78,0,8.075441721067019,6.020188006948358,5.943075914559054,74.76210299112776,58.134146825396826
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,500,0.72,0,8.075441721067019,7.322901798930184,7.239505075202321,250.13908252959033,92.08603773584906
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,2000,0.66,0,8.075441721067019,8.00685845287105,7.984697918451468,622.0522599288211,144.44435294117648
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,5000,0.6,0,8.075441721067019,,,,205.53055555555557
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,50,0.84,1,8.089798768937115,5.2926920674201865,5.2162470768323965,42.18065071487229,37.55038759689923
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,100,0.78,1,8.089798768937115,6.032262613250115,5.934815240994299,75.16101328328287,57.976190476190474
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,500,0.72,1,8.089798768937115,7.338133607310434,7.227749830074466,250.3397582346608,89.0157037037037
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,2000,0.66,1,8.089798768937115,8.01966238516748,7.971395839298725,619.7486066370492,143.88480480480482
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,5000,0.6,1,8.089798768937115,,,,206.59333333333333
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,50,0.84,2,8.362682523744095,5.313679217737279,5.228945828318155,42.78558564383987,39.32100358422939
literature,LucyMontgomery_AnneOfGreenGables.txt,2422,100,0.78,2,8.362682523744095,6.079790106633369,5.964108462511794,77.5557060239753,67.66465753424657
