genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,0,5.213660689688186,3.1999768753751696,3.292659802204439,9.57142857142858,35.55733333333334
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,0,5.213660689688186,5.213660689688186,5.213660689688186,40.0,
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,0,5.213660689688186,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,0,5.213660689688186,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,0,5.213660689688186,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,1,5.2785629396449165,3.2438793143995595,3.2682695583019985,9.614285714285728,46.337777777777774
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,1,5.2785629396449165,5.2785629396449165,5.2785629396449165,42.0,
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,1,5.2785629396449165,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,1,5.2785629396449165,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,1,5.2785629396449165,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,2,4.956565630242719,3.124319436329672,3.1658305339117554,9.204851894504332,23.992
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,2,4.956565630242719,4.956565630242719,4.956565630242719,36.0,29.52583333333333
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,2,4.956565630242719,,,,40.96
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,2,4.956565630242719,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,2,4.956565630242719,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,3,5.348758439731455,3.253635411960536,3.2780256558629755,9.712244897959202,
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,3,5.348758439731455,5.348758439731455,5.348758439731455,43.0,
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,3,5.348758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,3,5.348758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,3,5.348758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,4,5.188758439731455,3.2243671192776087,3.229245168058097,9.565306122448982,20.333333333333332
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,4,5.188758439731455,5.188758439731455,5.188758439731455,39.0,38.92333333333333
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,4,5.188758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,4,5.188758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,4,5.188758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,5,4.878562939644916,3.1468684912024436,3.219489070497121,9.073865846060905,28.46666666666667
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,5,4.878562939644916,4.878562939644916,4.878562939644916,35.0,34.6975
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,5,4.878562939644916,,,,47.0
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,5,4.878562939644916,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,5,4.878562939644916,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,6,5.443856189774724,3.2761844668333078,3.2829037046434615,9.766435084672196,
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,6,5.443856189774724,5.443856189774724,5.443856189774724,46.0,
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,6,5.443856189774724,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,6,5.443856189774724,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,6,5.443856189774724,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,7,5.076565630242719,3.240196936340226,3.2054050765682973,9.364947422077073,27.5
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,7,5.076565630242719,5.076565630242719,5.076565630242719,38.0,45.0
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,7,5.076565630242719,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,7,5.076565630242719,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,7,5.076565630242719,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,8,5.118562939644916,3.1883795887845268,3.273147607082487,9.46734693877551,31.553333333333338
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,8,5.118562939644916,5.118562939644916,5.118562939644916,38.0,47.5
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,8,5.118562939644916,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,8,5.118562939644916,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,8,5.118562939644916,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,9,5.283856189774724,3.2304408387792503,3.268269558302,9.619496309161974,46.00444444444444
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,9,5.283856189774724,5.283856189774724,5.283856189774724,42.0,
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,9,5.283856189774724,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,9,5.283856189774724,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,9,5.283856189774724,,,,
literature,AnnaSewell_BlackBeauty.txt,63,10,0.84,0,5.3556726305042,3.2029194606160853,3.1922984652577338,9.362872951358199,31.99999999999999
literature,AnnaSewell_BlackBeauty.txt,63,50,0.78,0,5.3556726305042,5.067883966687659,4.967679492972107,39.53193179473621,50.09333333333333
literature,AnnaSewell_BlackBeauty.txt,63,100,0.72,0,5.3556726305042,,,,
literature,AnnaSewell_BlackBeauty.txt,63,200,0.66,0,5.3556726305042,,,,
literature,AnnaSewell_BlackBeauty.txt,63,500,0.6,0,5.3556726305042,,,,
literature,AnnaSewell_BlackBeauty.txt,63,10,0.84,1,5.5603805186349895,3.2316412661796545,3.284891057850327,9.629095212913278,54.333333333333314
literature,AnnaSewell_BlackBeauty.txt,63,50,0.78,1,5.5603805186349895,5.296139743250342,5.3097251361136655,42.40525295258228,
literature,AnnaSewell_BlackBeauty.txt,63,100,0.72,1,5.5603805186349895,,,,
literature,AnnaSewell_BlackBeauty.txt,63,200,0.66,1,5.5603805186349895,,,,
literature,AnnaSewell_BlackBeauty.txt,63,500,0.6,1,5.5603805186349895,,,,
literature,AnnaSewell_BlackBeauty.txt,63,10,0.84,2,5.508870796447108,3.2154285115460173,3.3034095763688476,9.60303190551734,56.07000000000002
literature,AnnaSewell_BlackBeauty.txt,63,50,0.78,2,5.508870796447108,5.270537171871221,5.2801311539924445,41.28444679475868,
literature,AnnaSewell_BlackBeauty.txt,63,100,0.72,2,5.508870796447108,,,,
literature,AnnaSewell_BlackBeauty.txt,63,200,0.66,2,5.508870796447108,,,,
literature,AnnaSewell_BlackBeauty.txt,63,500,0.6,2,5.508870796447108,,,,
literature,AnnaSewell_BlackBeauty.txt,63,10,0.84,3,5.52085313775129,3.2404466134058825,3.2885947615540334,9.623051547430158,80.61333333333334
literature,AnnaSewell_BlackBeauty.txt,63,50,0.78,3,5.52085313775129,5.27840827902026,5.268113975476647,41.41812092367342,
literature,AnnaSewell_BlackBeauty.txt,63,100,0.72,3,5.52085313775129,,,,
literature,AnnaSewell_BlackBeauty.txt,63,200,0.66,3,5.52085313775129,,,,
literature,AnnaSewell_BlackBeauty.txt,63,500,0.6,3,5.52085313775129,,,,
literature,AnnaSewell_BlackBeauty.txt,63,10,0.84,4,5.369904328158799,3.2177342754309004,3.221928094887364,9.401914321916795,29.290000000000003
literature,AnnaSewell_BlackBeauty.txt,63,50,0.78,4,5.369904328158799,5.140583047713038,5.085739676962234,39.53791133634831,44.893333333333324
literature,AnnaSewell_BlackBeauty.txt,63,100,0.72,4,5.369904328158799,,,,
literature,AnnaSewell_BlackBeauty.txt,63,200,0.66,4,5.369904328158799,,,,
literature,AnnaSewell_BlackBeauty.txt,63,500,0.6,4,5.369904328158799,,,,
literature,AnnaSewell_BlackBeauty.txt,63,10,0.84,5,5.324590788916365,3.18810464580127,3.26637253933181,9.4011086028761,38.43333333333334
literature,AnnaSewell_BlackBeauty.txt,63,50,0.78,5,5.324590788916365,5.086476900597428,5.116840064672731,38.316009723927586,52.90999999999997
literature,AnnaSewell_BlackBeauty.txt,63,100,0.72,5,5.324590788916365,,,,
literature,AnnaSewell_BlackBeauty.txt,63,200,0.66,5,5.324590788916365,,,,
literature,AnnaSewell_BlackBeauty.txt,63,500,0.6,5,5.324590788916365,,,,
literature,AnnaSewell_BlackBeauty.txt,63,10,0.84,6,5.5723628599391715,3.2441503171095865,3.2960021689614396,9.683463020321803,34.65333333333333
