genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,DanielDefoe_RobinsonCrusoe.txt,50,10,0.84,0,5.173660689688186,3.204854924155658,3.190770930226834,9.484802431610944,22.0
literature,DanielDefoe_RobinsonCrusoe.txt,50,50,0.78,0,5.173660689688186,5.173660689688186,5.173660689688186,40.0,
literature,DanielDefoe_RobinsonCrusoe.txt,50,100,0.72,0,5.173660689688186,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,200,0.66,0,5.173660689688186,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,500,0.6,0,5.173660689688186,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,10,0.84,1,5.348758439731455,3.268269558302,3.2341232168385843,9.712244897959206,
literature,DanielDefoe_RobinsonCrusoe.txt,50,50,0.78,1,5.348758439731455,5.348758439731455,5.348758439731455,43.0,
literature,DanielDefoe_RobinsonCrusoe.txt,50,100,0.72,1,5.348758439731455,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,200,0.66,1,5.348758439731455,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,500,0.6,1,5.348758439731455,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,10,0.84,2,5.213660689688186,3.229245168058097,3.268269558301999,9.571428571428582,24.583333333333332
literature,DanielDefoe_RobinsonCrusoe.txt,50,50,0.78,2,5.213660689688186,5.213660689688186,5.213660689688186,40.0,
literature,DanielDefoe_RobinsonCrusoe.txt,50,100,0.72,2,5.213660689688186,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,200,0.66,2,5.213660689688186,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,500,0.6,2,5.213660689688186,,,,
literature,DanielDefoe_RobinsonCrusoe.txt,50,10,0.84,3,4.876565630242719,3.0889774241451033,3.214611021716632,9.131382506749222,22.008000000000003
literature,DanielDefoe_RobinsonCrusoe.txt,50,50,0.78,3,4.876565630242719,4.876565630242719,4.876565630242719,34.0,30.040999999999997
literature,DanielDefoe_RobinsonCrusoe.txt,50,100,0.72,3,4.876565630242719,,,,38.77333333333333
literature,DanielDefoe_RobinsonCrusoe.txt,50,200,0.66,3,4.876565630242719,,,,
