genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,0,5.331663380285988,3.2578679424325103,3.258513460741024,9.615967830240354,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,0,5.331663380285988,5.331663380285988,5.331663380285988,44.0,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,0,5.331663380285988,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,0,5.331663380285988,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,0,5.331663380285988,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,1,5.333660689688186,3.2877817534239506,3.273147607082487,9.681632653061238,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,1,5.333660689688186,5.333660689688186,5.333660689688186,43.0,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,1,5.333660689688186,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,1,5.333660689688186,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,1,5.333660689688186,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,2,5.171663380285988,3.245074985120714,3.234123216838584,9.469029054730134,26.47
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,2,5.171663380285988,5.171663380285988,5.171663380285988,40.0,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,2,5.171663380285988,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,2,5.171663380285988,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,2,5.171663380285988,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,3,5.2385629396449165,3.229245168058097,3.234123216838584,9.577551020408173,41.11111111111111
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,3,5.2385629396449165,5.2385629396449165,5.2385629396449165,41.0,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,3,5.2385629396449165,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,3,5.2385629396449165,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,3,5.2385629396449165,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,4,5.228758439731455,3.2633915095215116,3.2536354119605364,9.552149370386463,67.52000000000007
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,4,5.228758439731455,5.228758439731455,5.228758439731455,41.0,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,4,5.228758439731455,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,4,5.228758439731455,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,4,5.228758439731455,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,5,5.0936606896881855,3.1487096802321113,3.1206370582703395,9.338043006286703,35.20333333333334
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,5,5.0936606896881855,5.0936606896881855,5.0936606896881855,39.0,43.5
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,5,5.0936606896881855,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,5,5.0936606896881855,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,5,5.0936606896881855,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,6,5.363856189774724,3.2633915095215116,3.2829037046434624,9.742857142857162,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,6,5.363856189774724,5.363856189774724,5.363856189774724,43.0,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,6,5.363856189774724,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,6,5.363856189774724,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,6,5.363856189774724,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,7,5.363856189774724,3.2877817534239497,3.22436711927761,9.742857142857169,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,7,5.363856189774724,5.363856189774724,5.363856189774724,43.0,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,7,5.363856189774724,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,7,5.363856189774724,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,7,5.363856189774724,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,10,0.84,8,5.403856189774724,3.2731476070824868,3.3219280948873653,9.779591836734713,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,50,0.78,8,5.403856189774724,5.403856189774724,5.403856189774724,44.0,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,100,0.72,8,5.403856189774724,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,200,0.66,8,5.403856189774724,,,,
poetry,ElizabethBrowning_AuroraLeigh.txt,50,500,0.6,8,5.403856189774724,,,,
