genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,JMBarrie_PeterPan.txt,50,10,0.84,0,5.308758439731455,3.2343792198657275,3.292659802204439,9.67551020408164,50.0
literature,JMBarrie_PeterPan.txt,50,50,0.78,0,5.308758439731455,5.308758439731455,5.308758439731455,42.0,
literature,JMBarrie_PeterPan.txt,50,100,0.72,0,5.308758439731455,,,,
literature,JMBarrie_PeterPan.txt,50,200,0.66,0,5.308758439731455,,,,
literature,JMBarrie_PeterPan.txt,50,500,0.6,0,5.308758439731455,,,,
literature,JMBarrie_PeterPan.txt,50,10,0.84,1,5.133660689688186,3.201928094887362,3.1755866314727297,9.497959183673476,21.540000000000003
literature,JMBarrie_PeterPan.txt,50,50,0.78,1,5.133660689688186,5.133660689688186,5.133660689688186,38.0,39.0
literature,JMBarrie_PeterPan.txt,50,100,0.72,1,5.133660689688186,,,,
literature,JMBarrie_PeterPan.txt,50,200,0.66,1,5.133660689688186,,,,
literature,JMBarrie_PeterPan.txt,50,500,0.6,1,5.133660689688186,,,,
literature,JMBarrie_PeterPan.txt,50,10,0.84,2,5.291663380285988,3.261928094887362,3.206050594876811,9.579233136362799,
literature,JMBarrie_PeterPan.txt,50,50,0.78,2,5.291663380285988,5.291663380285988,5.291663380285988,43.0,
literature,JMBarrie_PeterPan.txt,50,100,0.72,2,5.291663380285988,,,,
literature,JMBarrie_PeterPan.txt,50,200,0.66,2,5.291663380285988,,,,
literature,JMBarrie_PeterPan.txt,50,500,0.6,2,5.291663380285988,,,,
literature,JMBarrie_PeterPan.txt,50,10,0.84,3,5.443856189774724,3.2219280948873625,3.3219280948873653,9.816326530612269,
literature,JMBarrie_PeterPan.txt,50,50,0.78,3,5.443856189774724,5.443856189774724,5.443856189774724,45.0,
literature,JMBarrie_PeterPan.txt,50,100,0.72,3,5.443856189774724,,,,
literature,JMBarrie_PeterPan.txt,50,200,0.66,3,5.443856189774724,,,,
literature,JMBarrie_PeterPan.txt,50,500,0.6,3,5.443856189774724,,,,
literature,JMBarrie_PeterPan.txt,50,10,0.84,4,5.158562939644916,3.241928094887362,3.3072939485459023,9.504081632653058,48.64000000000001
literature,JMBarrie_PeterPan.txt,50,50,0.78,4,5.158562939644916,5.158562939644916,5.158562939644916,39.0,50.0
literature,JMBarrie_PeterPan.txt,50,100,0.72,4,5.158562939644916,,,,
literature,JMBarrie_PeterPan.txt,50,200,0.66,4,5.158562939644916,,,,
literature,JMBarrie_PeterPan.txt,50,500,0.6,4,5.158562939644916,,,,
literature,JMBarrie_PeterPan.txt,50,10,0.84,5,5.413660689688186,3.2819280948873617,3.2438793143995617,9.755102040816347,
literature,JMBarrie_PeterPan.txt,50,50,0.78,5,5.413660689688186,5.413660689688186,5.413660689688186,45.0,
literature,JMBarrie_PeterPan.txt,50,100,0.72,5,5.413660689688186,,,,
literature,JMBarrie_PeterPan.txt,50,200,0.66,5,5.413660689688186,,,,
literature,JMBarrie_PeterPan.txt,50,500,0.6,5,5.413660689688186,,,,
literature,JMBarrie_PeterPan.txt,50,10,0.84,6,5.156565630242719,3.214379219865728,3.2469161741503805,9.43841680983217,28.360000000000003
literature,JMBarrie_PeterPan.txt,50,50,0.78,6,5.156565630242719,5.156565630242719,5.156565630242719,40.0,
literature,JMBarrie_PeterPan.txt,50,100,0.72,6,5.156565630242719,,,,
literature,JMBarrie_PeterPan.txt,50,200,0.66,6,5.156565630242719,,,,
literature,JMBarrie_PeterPan.txt,50,500,0.6,6,5.156565630242719,,,,
literature,JMBarrie_PeterPan.txt,50,10,0.84,7,5.323856189774724,3.241928094887362,3.268269558302,9.706122448979613,42.5
literature,JMBarrie_PeterPan.txt,50,50,0.78,7,5.323856189774724,5.323856189774724,5.323856189774724,42.0,
literature,JMBarrie_PeterPan.txt,50,100,0.72,7,5.323856189774724,,,,
literature,JMBarrie_PeterPan.txt,50,200,0.66,7,5.323856189774724,,,,
literature,JMBarrie_PeterPan.txt,50,500,0.6,7,5.323856189774724,,,,
literature,JMBarrie_PeterPan.txt,50,10,0.84,8,5.156565630242719,3.2419280948873626,3.2194890704971217,9.438416809832177,26.07
literature,JMBarrie_PeterPan.txt,50,50,0.78,8,5.156565630242719,5.156565630242719,5.156565630242719,40.0,
