genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,0,5.333660689688186,3.258513460741023,3.2829037046434633,9.681632653061243,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,0,5.333660689688186,5.333660689688186,5.333660689688186,43.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,0,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,0,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,0,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,1,5.388758439731455,3.264587180242666,3.2633915095215107,9.748979591836761,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,1,5.388758439731455,5.388758439731455,5.388758439731455,44.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,1,5.388758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,1,5.388758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,1,5.388758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,2,4.804372820753983,3.0197002826965464,3.101124863148388,8.739929745399412,15.68888888888889
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,2,4.804372820753983,4.804372820753983,4.804372820753983,37.0,22.917666666666662
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,2,4.804372820753983,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,2,4.804372820753983,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,2,4.804372820753983,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,3,5.211663380285988,3.2304408387792494,3.2731476070824868,9.505763748607691,39.94666666666668
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,3,5.211663380285988,5.211663380285988,5.211663380285988,41.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,3,5.211663380285988,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,3,5.211663380285988,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,3,5.211663380285988,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,4,5.373660689688186,3.237160076589405,3.2829037046434624,9.718367346938793,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,4,5.373660689688186,5.373660689688186,5.373660689688186,44.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,4,5.373660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,4,5.373660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,4,5.373660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,5,5.428758439731455,3.278025655862975,3.312171997326389,9.785714285714308,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,5,5.428758439731455,5.428758439731455,5.428758439731455,45.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,5,5.428758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,5,5.428758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,5,5.428758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,6,4.783465189601647,3.13223434486098,3.0926598022044365,9.043074250976968,11.875
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,6,4.783465189601647,4.783465189601647,4.783465189601647,32.0,16.13
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,6,4.783465189601647,,,,24.776
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,6,4.783465189601647,,,,31.206999999999997
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,6,4.783465189601647,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,7,5.403856189774724,3.2877817534239506,3.292659802204439,9.779591836734713,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,7,5.403856189774724,5.403856189774724,5.403856189774724,44.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,7,5.403856189774724,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,7,5.403856189774724,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,7,5.403856189774724,,,,
