genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,0,5.0936606896881855,5.0936606896881855,5.0936606896881855,38.0,34.0
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,0,5.0936606896881855,,,,43.73333333333333
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,0,5.0936606896881855,,,,58.027777777777764
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,0,5.0936606896881855,,,,62.500000000000014
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,0,5.0936606896881855,,,,72.91666666666667
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,0,5.0936606896881855,,,,83.33333333333334
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,1,5.143465189601647,5.143465189601647,5.143465189601647,39.0,25.699999999999996
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,1,5.143465189601647,,,,45.0
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,1,5.143465189601647,,,,56.81818181818183
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,1,5.143465189601647,,,,68.1818181818182
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,1,5.143465189601647,,,,79.54545454545455
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,1,5.143465189601647,,,,90.90909090909092
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,2,5.308758439731455,5.308758439731455,5.308758439731455,43.0,53.57142857142858
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,2,5.308758439731455,,,,71.42857142857142
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,2,5.308758439731455,,,,89.28571428571428
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,2,5.308758439731455,,,,107.14285714285715
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,2,5.308758439731455,,,,124.99999999999997
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,2,5.308758439731455,,,,142.85714285714283
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,3,5.108758439731455,5.108758439731455,5.108758439731455,38.0,27.428124999999998
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,3,5.108758439731455,,,,41.675
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,3,5.108758439731455,,,,52.083333333333336
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,3,5.108758439731455,,,,62.500000000000014
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,3,5.108758439731455,,,,72.91666666666667
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,3,5.108758439731455,,,,83.33333333333334
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,4,5.388758439731455,5.388758439731455,5.388758439731455,44.0,62.500000000000014
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,4,5.388758439731455,,,,83.33333333333331
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,4,5.388758439731455,,,,104.16666666666667
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,4,5.388758439731455,,,,125.00000000000003
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,4,5.388758439731455,,,,145.83333333333334
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,4,5.388758439731455,,,,166.66666666666669
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,5,5.036565630242719,5.036565630242719,5.036565630242719,38.0,32.27916666666667
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,5,5.036565630242719,,,,42.35555555555555
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,5,5.036565630242719,,,,48.40277777777777
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,5,5.036565630242719,,,,62.500000000000014
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,5,5.036565630242719,,,,72.91666666666667
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,5,5.036565630242719,,,,83.33333333333334
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,6,5.188758439731455,5.188758439731455,5.188758439731455,40.0,56.13333333333336
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,6,5.188758439731455,,,,55.73333333333329
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,6,5.188758439731455,,,,62.500000000000014
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,6,5.188758439731455,,,,75.00000000000003
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,6,5.188758439731455,,,,87.50000000000003
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,6,5.188758439731455,,,,100.00000000000003
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,7,5.293660689688186,5.293660689688186,5.293660689688186,42.0,42.0
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,7,5.293660689688186,,,,62.49999999999997
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,7,5.293660689688186,,,,78.12499999999999
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,7,5.293660689688186,,,,93.75
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,7,5.293660689688186,,,,109.37499999999997
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,7,5.293660689688186,,,,124.99999999999997
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,8,5.143465189601647,5.143465189601647,5.143465189601647,39.0,23.666666666666668
literature,FrancesBurnett_TheSecretGarden.txt,50,100,0.8,8,5.143465189601647,,,,37.0
literature,FrancesBurnett_TheSecretGarden.txt,50,500,0.75,8,5.143465189601647,,,,42.909090909090914
literature,FrancesBurnett_TheSecretGarden.txt,50,1000,0.7,8,5.143465189601647,,,,68.1818181818182
literature,FrancesBurnett_TheSecretGarden.txt,50,2000,0.65,8,5.143465189601647,,,,79.54545454545455
literature,FrancesBurnett_TheSecretGarden.txt,50,5000,0.6,8,5.143465189601647,,,,90.90909090909092
literature,FrancesBurnett_TheSecretGarden.txt,50,50,0.85,9,5.228758439731455,5.228758439731455,5.228758439731455,41.0,35.666666666666664
