genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,JMBarrie_PeterPan.txt,50,50,0.85,0,5.173660689688186,5.173660689688186,5.173660689688186,40.0,18.8375
literature,JMBarrie_PeterPan.txt,50,100,0.8,0,5.173660689688186,,,,45.42222222222222
literature,JMBarrie_PeterPan.txt,50,500,0.75,0,5.173660689688186,,,,46.75000000000001
literature,JMBarrie_PeterPan.txt,50,1000,0.7,0,5.173660689688186,,,,75.00000000000003
literature,JMBarrie_PeterPan.txt,50,2000,0.65,0,5.173660689688186,,,,87.50000000000003
literature,JMBarrie_PeterPan.txt,50,5000,0.6,0,5.173660689688186,,,,100.00000000000003
literature,JMBarrie_PeterPan.txt,50,50,0.85,1,5.523856189774724,5.523856189774724,5.523856189774724,47.0,124.9999999999999
literature,JMBarrie_PeterPan.txt,50,100,0.8,1,5.523856189774724,,,,166.6666666666665
literature,JMBarrie_PeterPan.txt,50,500,0.75,1,5.523856189774724,,,,208.33333333333314
literature,JMBarrie_PeterPan.txt,50,1000,0.7,1,5.523856189774724,,,,249.9999999999998
literature,JMBarrie_PeterPan.txt,50,2000,0.65,1,5.523856189774724,,,,291.6666666666664
literature,JMBarrie_PeterPan.txt,50,5000,0.6,1,5.523856189774724,,,,333.33333333333303
literature,JMBarrie_PeterPan.txt,50,50,0.85,2,5.413660689688186,5.413660689688186,5.413660689688186,45.0,75.00000000000003
literature,JMBarrie_PeterPan.txt,50,100,0.8,2,5.413660689688186,,,,100.0
literature,JMBarrie_PeterPan.txt,50,500,0.75,2,5.413660689688186,,,,125.00000000000003
literature,JMBarrie_PeterPan.txt,50,1000,0.7,2,5.413660689688186,,,,150.00000000000006
literature,JMBarrie_PeterPan.txt,50,2000,0.65,2,5.413660689688186,,,,175.00000000000006
literature,JMBarrie_PeterPan.txt,50,5000,0.6,2,5.413660689688186,,,,200.00000000000006
literature,JMBarrie_PeterPan.txt,50,50,0.85,3,5.508758439731455,5.508758439731455,5.508758439731455,47.0,124.9999999999999
literature,JMBarrie_PeterPan.txt,50,100,0.8,3,5.508758439731455,,,,166.6666666666665
literature,JMBarrie_PeterPan.txt,50,500,0.75,3,5.508758439731455,,,,208.33333333333314
literature,JMBarrie_PeterPan.txt,50,1000,0.7,3,5.508758439731455,,,,249.9999999999998
literature,JMBarrie_PeterPan.txt,50,2000,0.65,3,5.508758439731455,,,,291.6666666666664
literature,JMBarrie_PeterPan.txt,50,5000,0.6,3,5.508758439731455,,,,333.33333333333303
literature,JMBarrie_PeterPan.txt,50,50,0.85,4,5.308758439731455,5.308758439731455,5.308758439731455,42.0,45.28750000000002
literature,JMBarrie_PeterPan.txt,50,100,0.8,4,5.308758439731455,,,,62.49999999999997
literature,JMBarrie_PeterPan.txt,50,500,0.75,4,5.308758439731455,,,,78.12499999999999
literature,JMBarrie_PeterPan.txt,50,1000,0.7,4,5.308758439731455,,,,93.75
literature,JMBarrie_PeterPan.txt,50,2000,0.65,4,5.308758439731455,,,,109.37499999999997
literature,JMBarrie_PeterPan.txt,50,5000,0.6,4,5.308758439731455,,,,124.99999999999997
literature,JMBarrie_PeterPan.txt,50,50,0.85,5,5.348758439731455,5.348758439731455,5.348758439731455,43.0,45.78571428571429
literature,JMBarrie_PeterPan.txt,50,100,0.8,5,5.348758439731455,,,,71.42857142857142
literature,JMBarrie_PeterPan.txt,50,500,0.75,5,5.348758439731455,,,,89.28571428571428
literature,JMBarrie_PeterPan.txt,50,1000,0.7,5,5.348758439731455,,,,107.14285714285715
literature,JMBarrie_PeterPan.txt,50,2000,0.65,5,5.348758439731455,,,,124.99999999999997
literature,JMBarrie_PeterPan.txt,50,5000,0.6,5,5.348758439731455,,,,142.85714285714283
literature,JMBarrie_PeterPan.txt,50,50,0.85,6,5.293660689688186,5.293660689688186,5.293660689688186,42.0,57.31666666666664
literature,JMBarrie_PeterPan.txt,50,100,0.8,6,5.293660689688186,,,,62.49999999999997
literature,JMBarrie_PeterPan.txt,50,500,0.75,6,5.293660689688186,,,,78.12499999999999
literature,JMBarrie_PeterPan.txt,50,1000,0.7,6,5.293660689688186,,,,93.75
literature,JMBarrie_PeterPan.txt,50,2000,0.65,6,5.293660689688186,,,,109.37499999999997
literature,JMBarrie_PeterPan.txt,50,5000,0.6,6,5.293660689688186,,,,124.99999999999997
literature,JMBarrie_PeterPan.txt,50,50,0.85,7,5.333660689688186,5.333660689688186,5.333660689688186,43.0,41.190476190476204
literature,JMBarrie_PeterPan.txt,50,100,0.8,7,5.333660689688186,,,,71.42857142857142
literature,JMBarrie_PeterPan.txt,50,500,0.75,7,5.333660689688186,,,,89.28571428571428
literature,JMBarrie_PeterPan.txt,50,1000,0.7,7,5.333660689688186,,,,107.14285714285715
literature,JMBarrie_PeterPan.txt,50,2000,0.65,7,5.333660689688186,,,,124.99999999999997
literature,JMBarrie_PeterPan.txt,50,5000,0.6,7,5.333660689688186,,,,142.85714285714283
literature,JMBarrie_PeterPan.txt,50,50,0.85,8,5.428758439731455,5.428758439731455,5.428758439731455,45.0,75.00000000000003
literature,JMBarrie_PeterPan.txt,50,100,0.8,8,5.428758439731455,,,,100.0
literature,JMBarrie_PeterPan.txt,50,500,0.75,8,5.428758439731455,,,,125.00000000000003
literature,JMBarrie_PeterPan.txt,50,1000,0.7,8,5.428758439731455,,,,150.00000000000006
literature,JMBarrie_PeterPan.txt,50,2000,0.65,8,5.428758439731455,,,,175.00000000000006
literature,JMBarrie_PeterPan.txt,50,5000,0.6,8,5.428758439731455,,,,200.00000000000006
literature,JMBarrie_PeterPan.txt,50,50,0.85,9,5.148758439731455,5.148758439731455,5.148758439731455,39.0,32.35
literature,JMBarrie_PeterPan.txt,50,100,0.8,9,5.148758439731455,,,,43.5
literature,JMBarrie_PeterPan.txt,50,500,0.75,9,5.148758439731455,,,,56.81818181818183
literature,JMBarrie_PeterPan.txt,50,1000,0.7,9,5.148758439731455,,,,68.1818181818182
literature,JMBarrie_PeterPan.txt,50,2000,0.65,9,5.148758439731455,,,,79.54545454545455
literature,JMBarrie_PeterPan.txt,50,5000,0.6,9,5.148758439731455,,,,90.90909090909092
literature,JMBarrie_PeterPan.txt,79,50,0.85,0,5.4520818555803405,5.025034959930838,5.134885952062466,37.23618152798698,26.541666666666668
literature,JMBarrie_PeterPan.txt,79,100,0.8,0,5.4520818555803405,,,,36.08
literature,JMBarrie_PeterPan.txt,79,500,0.75,0,5.4520818555803405,,,,43.14285714285715
