genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,JamesJoyce_Ulysses.txt,2000,50,0.85,0,8.387861949840623,5.188726414869448,5.231144433683437,42.02350167748927,38.000700934579434
literature,JamesJoyce_Ulysses.txt,2000,100,0.8,0,8.387861949840623,6.036026099507044,5.978186456291951,76.58739314294736,60.90121212121212
literature,JamesJoyce_Ulysses.txt,2000,500,0.75,0,8.387861949840623,7.49115282668406,7.428209677787215,289.880471528726,93.02888257575758
literature,JamesJoyce_Ulysses.txt,2000,1000,0.7,0,8.387861949840623,7.953091825155482,7.9620547590689785,504.42149832015457,144.5560064935065
literature,JamesJoyce_Ulysses.txt,2000,2000,0.65,0,8.387861949840623,8.387861949840623,8.387861949840623,870.0,224.80871459694993
literature,JamesJoyce_Ulysses.txt,2000,50,0.85,1,8.505989246698276,5.293868752855343,5.274815337683763,43.41127192993,40.03168316831683
literature,JamesJoyce_Ulysses.txt,2000,100,0.8,1,8.505989246698276,6.063803280980521,6.063142409670013,79.66259640728418,65.9431693989071
literature,JamesJoyce_Ulysses.txt,2000,500,0.75,1,8.505989246698276,7.559713373657982,7.599787799042823,296.1752099727462,99.0640243902439
literature,JamesJoyce_Ulysses.txt,2000,1000,0.7,1,8.505989246698276,8.082053076245945,8.094503151302284,497.4023132491786,169.1388768115942
literature,JamesJoyce_Ulysses.txt,2000,2000,0.65,1,8.505989246698276,8.505989246698276,8.505989246698276,813.0,253.18204365079367
literature,JamesJoyce_Ulysses.txt,2000,50,0.85,2,8.21433165068742,5.301539158782582,5.272389397705679,43.033308792851685,41.103092783505154
literature,JamesJoyce_Ulysses.txt,2000,100,0.8,2,8.21433165068742,6.1435448117870735,6.027031126643032,77.54543596085912,64.2997557997558
literature,JamesJoyce_Ulysses.txt,2000,500,0.75,2,8.21433165068742,7.466435794205728,7.4432021528411445,265.95658963838736,90.4090909090909
literature,JamesJoyce_Ulysses.txt,2000,1000,0.7,2,8.21433165068742,7.881698171943492,7.886135951399456,428.5627141350282,139.68275862068967
literature,JamesJoyce_Ulysses.txt,2000,2000,0.65,2,8.21433165068742,8.21433165068742,8.21433165068742,672.0,195.87065476190477
literature,JamesJoyce_Ulysses.txt,2000,50,0.85,3,8.144272866252177,5.349738889722801,5.246315154921076,42.443076144966646,40.2091875
