genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,0,8.356566252849653,5.322268214735782,5.263288256190096,42.50200327595595,40.060500000000005
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,0,8.356566252849653,6.048551810090465,6.020825737358044,77.62969120285877,64.38095238095238
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,0,8.356566252849653,7.483952939193985,7.469696619899297,286.6041196698179,103.97231934731934
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,0,8.356566252849653,7.9802997776015,7.996094187575079,482.6021263861176,166.61783333333332
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,0,8.356566252849653,8.356566252849653,8.356566252849653,787.0,235.28888888888892
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,1,8.370746039305311,5.290319877833707,5.258079944672331,42.43439441890213,42.16242105263158
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,1,8.370746039305311,5.996051931056007,5.998947000851539,77.36116749668102,66.48606557377049
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,1,8.370746039305311,7.543946265848069,7.465447487779464,288.12618451282924,96.16785714285714
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,1,8.370746039305311,7.962904877460545,7.981699303028932,488.3215458938732,147.01323529411766
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,1,8.370746039305311,8.370746039305311,8.370746039305311,803.0,225.78395811563917
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,2,8.36384921614506,5.2962807778164,5.261220692878877,42.41257882915445,42.297105263157896
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,2,8.36384921614506,6.06493235049807,5.999589042259979,77.45736899825292,67.54098360655738
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,2,8.36384921614506,7.535830031193546,7.432203938012941,287.94350426531594,98.4771732332708
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,2,8.36384921614506,7.989292262266369,7.962414065091542,485.99637213391134,148.82264957264957
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,2,8.36384921614506,8.36384921614506,8.36384921614506,800.0,213.69928229665072
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,3,8.23275930531908,5.264810102829381,5.245562462891207,42.16535413769794,37.22429906542056
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,3,8.23275930531908,6.011432902138195,5.978831289223105,76.38853620940257,62.5421875
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,3,8.23275930531908,7.417675294883341,7.387013505409431,274.832257184736,92.72165697674419
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,3,8.23275930531908,7.859419864704785,7.860900157530194,457.8381298565202,135.8181818181818
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,3,8.23275930531908,8.23275930531908,8.23275930531908,743.0,205.79779605263155
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,4,8.322667262549801,5.3847584397314545,5.282305573278261,42.655441677253165,44.10815217391304
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,4,8.322667262549801,6.020387013054085,6.031226148274741,77.32005126732227,69.10919540229885
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,4,8.322667262549801,7.492441796345274,7.412595851016888,280.2992013893567,95.60505952380953
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,4,8.322667262549801,7.954524057866109,7.8894616607834305,469.9338326475263,144.3542857142857
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,4,8.322667262549801,8.322667262549801,8.322667262549801,766.0,224.1341880787037
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,5,8.292929395561687,5.3017388897228015,5.28509016258738,42.754744705815845,44.31111111111111
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,5,8.292929395561687,6.1692843153940515,6.031466981975715,77.48307721127307,71.85318681318681
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,5,8.292929395561687,7.506406081262833,7.43178782868905,276.74519707091036,95.42857142857143
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,5,8.292929395561687,7.9020310435003704,7.874763780433894,458.63246926920965,138.69827586206895
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,5,8.292929395561687,8.292929395561687,8.292929395561687,738.0,202.02944444444444
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,6,8.309311131981763,5.276610371889161,5.277089149921391,43.00377063423568,42.82795698924731
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,6,8.309311131981763,6.1292870593567095,6.035184568436949,77.6324406137168,68.7593220338983
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,6,8.309311131981763,7.470172913824284,7.483427709167259,275.42074648873137,103.70039018952062
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,6,8.309311131981763,7.93815873407676,7.953300995758611,457.23826253847795,150.2579365079365
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,6,8.309311131981763,8.309311131981763,8.309311131981763,743.0,206.06623106060607
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,7,8.226569278850189,5.247551721863199,5.24417529644982,41.90868475019799,39.1
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,7,8.226569278850189,5.998093054972189,5.962505012918904,75.7297976307297,63.878125000000004
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,7,8.226569278850189,7.455226082795358,7.301866465034111,275.42797243564934,87.4090909090909
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,7,8.226569278850189,7.8694842527041775,7.752453803864088,463.952902031751,130.75760368663595
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,7,8.226569278850189,8.226569278850189,8.226569278850189,762.0,189.15791666666667
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,8,8.33142883637072,5.286771002812073,5.285536589827415,43.00902486114223,43.72472826086957
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,8,8.33142883637072,6.100948362929072,6.034136093911631,78.37413040285803,69.12965517241379
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,8,8.33142883637072,7.521556907389199,7.447447425018185,280.88743216743467,96.00509259259259
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,8,8.33142883637072,7.979599229342263,7.94162450572846,460.0449068654778,146.59148351648352
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,8,8.33142883637072,8.33142883637072,8.33142883637072,727.0,194.82940476190475
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,50,0.85,9,8.340391763892669,5.317539158782581,5.307729164103884,42.77386976347835,47.35961764705882
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,100,0.8,9,8.340391763892669,6.136309518407196,6.047008956713659,77.67318732365723,73.68644155844156
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,500,0.75,9,8.340391763892669,7.52776113282607,7.438934074328706,280.77377843844897,106.82213345864662
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,1000,0.7,9,8.340391763892669,7.939963262374515,7.899555870884759,470.1523809324342,156.1677549194991
literature,StGeorgeRathborne_TheSpidersWeb.txt,2000,2000,0.65,9,8.340391763892669,8.340391763892669,8.340391763892669,772.0,226.78025101513472
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,50,0.85,0,8.631342427486366,5.304758439731455,5.306804341769972,42.86838893880696,44.45968888888889
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,100,0.8,0,8.631342427486366,6.074236849129351,6.050541517322162,77.41430678319918,73.09513381995133
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,500,0.75,0,8.631342427486366,7.498922679422182,7.42192557516997,273.57740178773213,100.34458333333333
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,1000,0.7,0,8.631342427486366,7.92981638299465,7.866557579832177,452.59461828156157,143.39231578947368
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,2000,0.65,0,8.631342427486366,8.274828059846445,8.222951481298386,730.063234160139,201.09086666666667
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,50,0.85,1,8.793069057123738,5.3207584397314545,5.268429171378856,42.79171575015303,41.37458847736625
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,100,0.8,1,8.793069057123738,6.119648843370652,6.011003765258076,78.04131801068067,68.24496314496314
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,500,0.75,1,8.793069057123738,7.510738088594136,7.431783363210842,288.25314907844233,95.48484848484847
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,1000,0.7,1,8.793069057123738,8.02323658081975,7.912182180628474,486.53446658882774,146.81884057971016
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,2000,0.65,1,8.793069057123738,8.394832660691987,8.330245425868062,799.7483842554412,214.4359172576832
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,50,0.85,2,8.714091251853207,5.182817177984681,5.242103382789285,42.12493656404492,38.85
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,100,0.8,2,8.714091251853207,6.030933880220543,5.977543524318603,76.65302750510169,60.303363453815265
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,500,0.75,2,8.714091251853207,7.4378632066872115,7.37019719267657,283.5285268778348,96.10256410256412
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,1000,0.7,2,8.714091251853207,7.977840065908258,7.838333941974124,482.32036908605164,141.20295774647886
literature,StGeorgeRathborne_TheSpidersWeb.txt,5000,2000,0.65,2,8.714091251853207,8.309363309787756,8.247827892755868,802.0716378600335,209.3988715277778
