genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,10,0.85,0,5.483856189774724,3.301928094887362,3.2877817534239515,9.853061224489824,93.75000000000006
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.8,0,5.483856189774724,5.483856189774724,5.483856189774724,46.0,125.00000000000003
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.75,0,5.483856189774724,,,,156.25000000000009
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,200,0.7,0,5.483856189774724,,,,187.5000000000001
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.65,0,5.483856189774724,,,,218.75000000000009
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,10,0.85,1,5.348758439731455,3.301928094887362,3.317050046106878,9.712244897959199,53.57142857142858
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.8,1,5.348758439731455,5.348758439731455,5.348758439731455,43.0,71.42857142857142
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.75,1,5.348758439731455,,,,89.28571428571428
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,200,0.7,1,5.348758439731455,,,,107.14285714285715
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.65,1,5.348758439731455,,,,124.99999999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,10,0.85,2,5.223465189601647,3.261928094887362,3.2194890704971204,9.54693877551021,43.02499999999998
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.8,2,5.223465189601647,5.223465189601647,5.223465189601647,41.0,42.277777777777764
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.75,2,5.223465189601647,,,,69.44444444444443
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,200,0.7,2,5.223465189601647,,,,83.33333333333331
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.65,2,5.223465189601647,,,,97.22222222222219
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,10,0.85,3,5.253660689688186,3.261928094887362,3.317050046106878,9.608163265306136,35.5
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.8,3,5.253660689688186,5.253660689688186,5.253660689688186,41.0,42.277777777777764
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.75,3,5.253660689688186,,,,69.44444444444443
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,200,0.7,3,5.253660689688186,,,,83.33333333333331
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.65,3,5.253660689688186,,,,97.22222222222219
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,10,0.85,4,5.308758439731455,3.241928094887362,3.239551418031713,9.625618758141572,101.19047619047613
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.8,4,5.308758439731455,5.308758439731455,5.308758439731455,43.0,133.8095238095237
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.75,4,5.308758439731455,,,,166.4285714285713
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,200,0.7,4,5.308758439731455,,,,184.1142857142859
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.65,4,5.308758439731455,,,,124.99999999999997
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,10,0.85,5,5.283856189774724,3.261928094887362,3.302415899765414,9.669387755102054,40.0
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.8,5,5.283856189774724,5.283856189774724,5.283856189774724,41.0,55.55555555555553
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.75,5,5.283856189774724,,,,69.44444444444443
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,200,0.7,5,5.283856189774724,,,,83.33333333333331
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.65,5,5.283856189774724,,,,97.22222222222219
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,10,0.85,6,5.133660689688186,3.051732594800824,3.229245168058097,9.324886254224179,34.333333333333336
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.8,6,5.133660689688186,5.133660689688186,5.133660689688186,41.0,43.777777777777764
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.75,6,5.133660689688186,,,,69.44444444444443
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,200,0.7,6,5.133660689688186,,,,83.33333333333331
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,500,0.65,6,5.133660689688186,,,,97.22222222222219
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,10,0.85,7,4.828758439731455,3.094379219865728,3.1426359607304697,8.882374684271223,14.916666666666666
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,50,0.8,7,4.828758439731455,4.828758439731455,4.828758439731455,36.0,21.75
poetry,AlfredTennyson_IdyllsOfTheKing.txt,50,100,0.75,7,4.828758439731455,,,,26.562499999999996
