genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,10,0.85,0,5.468758439731455,3.2819280948873626,3.3219280948873653,9.822448979591865,93.75000000000006
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,50,0.8,0,5.468758439731455,5.468758439731455,5.468758439731455,46.0,125.00000000000003
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,100,0.75,0,5.468758439731455,,,,156.25000000000009
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,200,0.7,0,5.468758439731455,,,,187.5000000000001
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,500,0.65,0,5.468758439731455,,,,218.75000000000009
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,10,0.85,1,5.173660689688186,3.2343792198657275,3.2536354119605364,9.484802431610948,30.587500000000002
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,50,0.8,1,5.173660689688186,5.173660689688186,5.173660689688186,40.0,44.35555555555555
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,100,0.75,1,5.173660689688186,,,,62.500000000000014
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,200,0.7,1,5.173660689688186,,,,75.00000000000003
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,500,0.65,1,5.173660689688186,,,,87.50000000000003
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,10,0.85,2,5.293660689688186,3.194379219865728,3.2829037046434624,9.644897959183687,42.0
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,50,0.8,2,5.293660689688186,5.293660689688186,5.293660689688186,42.0,62.49999999999997
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,100,0.75,2,5.293660689688186,,,,78.12499999999999
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,200,0.7,2,5.293660689688186,,,,93.75
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,500,0.65,2,5.293660689688186,,,,109.37499999999997
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,10,0.85,3,5.388758439731455,3.2819280948873626,3.2731476070824868,9.748979591836754,62.500000000000014
poetry,EdmundSpenser_TheFaerieQueeneBook1.txt,50,50,0.8,3,5.388758439731455,5.388758439731455,5.388758439731455,44.0,83.33333333333331
