genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,WalterScott_Marmion.txt,50,10,0.85,0,5.443856189774724,3.2819280948873626,3.2829037046434624,9.816326530612269,75.00000000000003
poetry,WalterScott_Marmion.txt,50,50,0.8,0,5.443856189774724,5.443856189774724,5.443856189774724,45.0,100.0
poetry,WalterScott_Marmion.txt,50,100,0.75,0,5.443856189774724,,,,125.00000000000003
poetry,WalterScott_Marmion.txt,50,200,0.7,0,5.443856189774724,,,,150.00000000000006
poetry,WalterScott_Marmion.txt,50,500,0.65,0,5.443856189774724,,,,175.00000000000006
poetry,WalterScott_Marmion.txt,50,10,0.85,1,5.468758439731455,3.2819280948873626,3.3219280948873653,9.822448979591861,93.75000000000006
poetry,WalterScott_Marmion.txt,50,50,0.8,1,5.468758439731455,5.468758439731455,5.468758439731455,46.0,125.00000000000003
poetry,WalterScott_Marmion.txt,50,100,0.75,1,5.468758439731455,,,,156.25000000000009
poetry,WalterScott_Marmion.txt,50,200,0.7,1,5.468758439731455,,,,187.5000000000001
poetry,WalterScott_Marmion.txt,50,500,0.65,1,5.468758439731455,,,,218.75000000000009
poetry,WalterScott_Marmion.txt,50,10,0.85,2,5.348758439731455,3.2219280948873625,3.2975378509849262,9.712244897959199,53.57142857142858
poetry,WalterScott_Marmion.txt,50,50,0.8,2,5.348758439731455,5.348758439731455,5.348758439731455,43.0,71.42857142857142
poetry,WalterScott_Marmion.txt,50,100,0.75,2,5.348758439731455,,,,89.28571428571428
poetry,WalterScott_Marmion.txt,50,200,0.7,2,5.348758439731455,,,,107.14285714285715
poetry,WalterScott_Marmion.txt,50,500,0.65,2,5.348758439731455,,,,124.99999999999997
poetry,WalterScott_Marmion.txt,50,10,0.85,3,5.348758439731455,3.301928094887362,3.278025655862975,9.712244897959199,46.28571428571429
poetry,WalterScott_Marmion.txt,50,50,0.8,3,5.348758439731455,5.348758439731455,5.348758439731455,43.0,71.42857142857142
poetry,WalterScott_Marmion.txt,50,100,0.75,3,5.348758439731455,,,,89.28571428571428
poetry,WalterScott_Marmion.txt,50,200,0.7,3,5.348758439731455,,,,107.14285714285715
poetry,WalterScott_Marmion.txt,50,500,0.65,3,5.348758439731455,,,,124.99999999999997
poetry,WalterScott_Marmion.txt,50,10,0.85,4,5.508758439731455,3.301928094887362,3.292659802204439,9.859183673469417,124.9999999999999
poetry,WalterScott_Marmion.txt,50,50,0.8,4,5.508758439731455,5.508758439731455,5.508758439731455,47.0,166.6666666666665
poetry,WalterScott_Marmion.txt,50,100,0.75,4,5.508758439731455,,,,208.33333333333314
poetry,WalterScott_Marmion.txt,50,200,0.7,4,5.508758439731455,,,,249.9999999999998
poetry,WalterScott_Marmion.txt,50,500,0.65,4,5.508758439731455,,,,291.6666666666664
poetry,WalterScott_Marmion.txt,50,10,0.85,5,5.228758439731455,3.241928094887362,3.248757363180048,9.552149370386461,37.53333333333333
poetry,WalterScott_Marmion.txt,50,50,0.8,5,5.228758439731455,5.228758439731455,5.228758439731455,41.0,55.55555555555553
poetry,WalterScott_Marmion.txt,50,100,0.75,5,5.228758439731455,,,,69.44444444444443
poetry,WalterScott_Marmion.txt,50,200,0.7,5,5.228758439731455,,,,83.33333333333331
poetry,WalterScott_Marmion.txt,50,500,0.65,5,5.228758439731455,,,,97.22222222222219
