genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,50,0.84,0,7.950454065315377,5.171919158881632,5.15302750452593,41.55015809595033,31.686929133858268
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,100,0.78,0,7.950454065315377,6.008274584503356,5.861943663969891,74.13817403763501,48.33638554216868
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,500,0.72,0,7.950454065315377,7.265800430116569,7.158232989349876,247.99032695656427,81.85991836734694
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,1000,0.66,0,7.950454065315377,7.644469865833758,7.57777215948346,394.9927024496757,123.19624819624819
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,2000,0.6,0,7.950454065315377,7.950229170501008,7.950437885552297,616.804597701141,202.0184704184704
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,50,0.84,1,8.19652342480897,5.295048933786908,5.241340779736531,42.82104148713613,36.81272727272727
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,100,0.78,1,8.19652342480897,6.118491692517881,5.98568213837512,76.98979042007701,62.46820512820513
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,500,0.72,1,8.19652342480897,7.438357268740205,7.342661791633514,263.8372897515084,105.75866028708134
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,1000,0.66,1,8.19652342480897,7.848322428124197,7.8089827263359295,431.1619905584641,167.38095238095238
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,2000,0.6,1,8.19652342480897,8.196400964706397,8.197660700702395,689.7741129435185,229.35539529914533
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,50,0.84,2,8.303732430178599,5.284229114718475,5.168170272228695,42.450753245245444,30.7984496124031
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,100,0.78,2,8.303732430178599,6.06575145280342,5.903493454133647,76.74003258106322,52.01319658119658
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,500,0.72,2,8.303732430178599,7.459481594959476,7.374484483660017,278.4609390609896,86.28468085106383
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,1000,0.66,2,8.303732430178599,7.943310755710636,7.918859035708989,470.01975876001876,148.83684499314128
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,2000,0.6,2,8.303732430178599,8.303457760369216,8.303623485801785,778.7216391803978,251.3606359649123
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,50,0.84,3,8.118821423399988,5.317539158782581,5.168978784267836,41.8518373325366,31.073736434108525
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,100,0.78,3,8.118821423399988,6.0459881990538635,5.867602568738903,75.19699978629443,50.81491561181434
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,500,0.72,3,8.118821423399988,7.343952179292273,7.166370025294766,264.64987510382247,79.86029708853238
poetry,GeoffreyChaucer_TheCanterburyTales.txt,2001,1000,0.66,3,8.118821423399988,7.771264170397669,7.627823951568903,435.5268064704895,126.87160326086956
