genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,0,8.423311055361891,5.31475851851703,5.260909652426752,43.03843387331531,42.26315789473684
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,0,8.423311055361891,6.10037973120715,6.009076672300333,78.98293919503391,74.64339393939393
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,0,8.423311055361891,7.569964328653884,7.453982784712871,290.7451018236999,118.11033766233767
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,0,8.423311055361891,8.423311055361891,8.423311055361891,780.0,184.44163636363635
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,0,8.423311055361891,,,,316.9808302808303
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,1,8.191034941054072,5.3204168981726285,5.18966804101582,42.780374326543594,33.621445378151265
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,1,8.191034941054072,6.083018980682854,5.93140358906379,77.0028883540451,52.492467532467536
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,1,8.191034941054072,7.450795152837539,7.359298150557371,265.8181605740844,86.27106382978722
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,1,8.191034941054072,8.191034941054072,8.191034941054072,671.0,143.16846585804132
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,1,8.191034941054072,,,,251.89413003663003
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,2,8.056534048833385,5.198438995028619,5.078104553053963,41.10246251834041,28.447086247086247
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,2,8.056534048833385,5.9341167978717975,5.764217251721993,74.76091297108782,43.88483516483517
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,2,8.056534048833385,7.3038989271032815,7.096007769330042,267.14325990653435,68.86584827586206
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,2,8.056534048833385,8.056534048833385,8.056534048833385,685.0,112.18433190304125
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,2,8.056534048833385,,,,183.1660606060606
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,3,8.420451223541,5.340616448236708,5.281823392634934,43.34568632276196,43.68565217391304
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,3,8.420451223541,6.1191164424745,6.060993256392086,79.50570019464368,76.91871794871795
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,3,8.420451223541,7.588187352298899,7.5347484668499645,287.67576125464876,134.20387096774192
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,3,8.420451223541,8.420451223541,8.420451223541,758.0,213.08491228070176
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,3,8.420451223541,,,,340.0913311688312
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,4,8.272805387152625,5.307289870417579,5.231140302244129,42.642488596286604,39.08401294498382
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,4,8.272805387152625,6.072958438794831,5.970844398546892,77.14205033649316,68.1031111111111
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,4,8.272805387152625,7.469676421958436,7.415452014815485,274.63434291717573,107.91531531531533
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,4,8.272805387152625,8.272805387152625,8.272805387152625,739.0,168.77510912698412
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,4,8.272805387152625,,,,278.0150303030303
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,5,8.282413541425612,5.301599132938033,5.215737358745818,42.80733587122974,35.39157894736842
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,5,8.282413541425612,6.078720729555896,5.963480668468147,78.13910752117481,63.42079861111111
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,5,8.282413541425612,7.496119282114382,7.371002637071687,276.4534318739946,102.26776666666667
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,5,8.282413541425612,8.282413541425612,8.282413541425612,713.0,177.74094409937888
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,5,8.282413541425612,,,,261.6289575289575
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,6,8.43017179524574,5.335208099619762,5.266905041867109,43.315960082909925,45.10989010989011
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,6,8.43017179524574,6.125766769305804,6.032555182392315,79.33181923930158,76.37690566037736
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,6,8.43017179524574,7.589447601610894,7.494854999402404,287.87488592694785,120.98955710955711
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,6,8.43017179524574,8.43017179524574,8.43017179524574,774.0,203.64266245791245
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,6,8.43017179524574,,,,335.51606281591233
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,7,8.178136815837076,5.277658499802813,5.177712560278455,42.095270765258235,33.663529411764706
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,7,8.178136815837076,6.021613492205714,5.931205200701725,76.07704028305079,51.540073260073264
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,7,8.178136815837076,7.404877245135176,7.378680716951547,270.01987403835744,93.02077519379846
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,7,8.178136815837076,8.178136815837076,8.178136815837076,703.0,166.9840263594309
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,7,8.178136815837076,,,,269.72475838585814
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,8,8.239900201198164,5.2517245380584505,5.182749517607034,41.91998876185907,34.892307692307696
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,8,8.239900201198164,6.008217153841223,5.915178473381379,76.31272091795769,58.69539130434782
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,8,8.239900201198164,7.420214574486091,7.277622552195077,279.05733487586303,88.35167945439046
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,8,8.239900201198164,8.239900201198164,8.239900201198164,750.0,146.47589743589742
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,8,8.239900201198164,,,,230.5523073876015
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,50,0.84,9,8.130026224262163,5.252918743804043,5.137444501072281,41.9462609107836,32.55748031496063
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,100,0.78,9,8.130026224262163,6.001010164310353,5.8511568639971685,76.26167384644249,51.037974683544306
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,500,0.72,9,8.130026224262163,7.38373875743037,7.220512052990524,267.26045562236953,81.7184012066365
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,2000,0.66,9,8.130026224262163,8.130026224262163,8.130026224262163,677.0,132.33872983870967
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2000,5000,0.6,9,8.130026224262163,,,,184.79627705627706
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,0,8.33286221924541,5.260140893784626,5.181155303221874,42.033644328453455,35.536857142857144
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,0,8.33286221924541,6.0186025770846845,5.906039220399103,76.63015119892171,59.20831325301206
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,0,8.33286221924541,7.435068911839583,7.315587821669523,279.63224281586304,98.01113600000001
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,0,8.33286221924541,8.249906990783993,8.239009252559573,740.6773705632258,152.64617153679652
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,0,8.33286221924541,,,,246.51780487804876
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,1,8.398211804282456,5.287859822337857,5.2102164975893555,42.54052450281889,36.63127819548872
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,1,8.398211804282456,6.060730471126586,5.959921267695491,77.7442414175378,60.50666666666667
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,1,8.398211804282456,7.494262057173596,7.385312306883537,282.8899609459981,96.48686274509804
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,1,8.398211804282456,8.313282125623058,8.334802463670092,746.5447920369356,165.5952125603865
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,1,8.398211804282456,,,,247.1130196078431
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,2,8.43113170157822,5.311438553581448,5.253914361418763,42.89167250330288,41.4034188034188
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,2,8.43113170157822,6.095512796691407,6.009903031346827,78.31890451415111,69.24291428571428
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,2,8.43113170157822,7.526897509427871,7.429970004271531,282.14565767977405,113.47428940568474
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,2,8.43113170157822,8.347323901805629,8.322481087233419,751.3280417883096,187.2906797082228
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,2,8.43113170157822,,,,276.31388888888887
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,3,8.45734039848011,5.322295559384983,5.261584332184707,43.001896022698496,42.79292753623188
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,3,8.45734039848011,6.098068075722936,6.01286576716778,78.5747424091017,72.38654411764706
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,3,8.45734039848011,7.546494065740285,7.429869967099967,284.105951333367,125.22817307692307
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,3,8.45734039848011,8.370748640492533,8.317386411324655,758.525359125573,190.4609557109557
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,3,8.45734039848011,,,,304.89959976407147
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,4,8.461796709102618,5.308051014255154,5.2309238187129115,42.77786095224339,39.29170731707317
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,4,8.461796709102618,6.079682372172372,5.981601891340282,78.29587339822407,68.9632676056338
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,4,8.461796709102618,7.5356217363115094,7.398660467389103,286.50768842521813,113.6447306553911
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,4,8.461796709102618,8.373491443010758,8.352044688508943,773.1073512046879,179.0719341563786
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,4,8.461796709102618,,,,294.58962962962966
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,5,8.350286400110944,5.285890713855623,5.212195019499363,42.44319391582686,36.87022900763359
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,5,8.350286400110944,6.052630993861409,5.943484396239002,77.42663040417226,63.109038961038955
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,5,8.350286400110944,7.4666412311988735,7.325043196767457,277.757345801248,102.3141520467836
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,5,8.350286400110944,8.268059052073493,8.20440211118305,729.5182702756821,175.10317396313366
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,5,8.350286400110944,,,,271.0074680899481
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,6,8.253869849704959,5.268381567540383,5.191207795234349,42.12389447925721,35.59124087591241
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,6,8.253869849704959,6.024739510277538,5.923109889850098,76.49423210903795,59.89658536585365
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,6,8.253869849704959,7.411202183661939,7.322234394596773,271.1521185976226,96.3837908496732
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,6,8.253869849704959,8.178717376581396,8.14655613404033,690.5890664393502,153.43785267857143
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,6,8.253869849704959,,,,250.30142857142854
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,7,8.352854988011886,5.299251582830389,5.21901115922909,42.52256697725406,37.8318125
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,7,8.352854988011886,6.059753564166369,5.951263315732763,77.0289704570506,64.45820952380951
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,7,8.352854988011886,7.458367306822607,7.401404334699944,275.3978774898891,103.97428085106382
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,7,8.352854988011886,8.266330386052527,8.249842728323584,740.3755908782636,168.4728229105786
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,7,8.352854988011886,,,,273.94945226917054
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,8,8.286944550394129,5.305418820086084,5.195736229247311,42.61947023038336,35.59120320855615
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,8,8.286944550394129,6.0636906229023095,5.934300857325988,77.12096294916657,57.09754671280276
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,8,8.286944550394129,7.450237917351541,7.334430155641774,269.22923335756224,96.63584775086507
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,8,8.286944550394129,8.20970227512723,8.171628956739971,689.6207978870253,156.71090909090907
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,8,8.286944550394129,,,,248.44383252818034
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,50,0.84,9,8.448248649749777,5.302418135192711,5.248865398172096,42.80842547468935,44.14230088495575
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,100,0.78,9,8.448248649749777,6.080152955401928,6.006760065680894,78.11848648769138,74.48213383838383
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,500,0.72,9,8.448248649749777,7.522594220815063,7.423301298177825,283.65542964174716,127.03434210526316
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,2000,0.66,9,8.448248649749777,8.360024853721177,8.31418790006704,771.5386741049608,199.3234
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2422,5000,0.6,9,8.448248649749777,,,,310.9615079365079
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,50,0.84,0,8.445833482821698,5.284563043351479,5.228967191673616,42.45462583705819,39.427651006711415
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,100,0.78,0,8.445833482821698,6.056923483803591,5.9615066718695715,77.2485895984496,66.56818181818181
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,500,0.72,0,8.445833482821698,7.470860055813627,7.387351152474895,278.4207119314255,110.95283018867924
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,2000,0.66,0,8.445833482821698,8.281131407180139,8.253831008238281,745.6662212644715,174.5408716627378
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,5000,0.6,0,8.445833482821698,,,,270.24
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,50,0.84,1,8.54514415660246,5.31734481972107,5.195712309915797,43.071312288148555,34.954047619047614
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,100,0.78,1,8.54514415660246,6.099222112289834,5.938001936991496,78.80737226782287,59.402337662337665
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,500,0.72,1,8.54514415660246,7.549582565276697,7.399122414882625,284.2939559704084,98.38663247863248
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,2000,0.66,1,8.54514415660246,8.376830135377707,8.345039989233607,759.1032575433574,160.01203742203742
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,5000,0.6,1,8.54514415660246,,,,248.16527777777776
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,50,0.84,2,8.387118594025265,5.272384655825948,5.197393929447939,42.24121554497079,36.607194444444445
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,100,0.78,2,8.387118594025265,6.031274682373124,5.933868869240078,76.82054713194617,61.10270833333333
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,500,0.72,2,8.387118594025265,7.439615346492557,7.359375827573311,275.41684817478057,96.96295081967213
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,2000,0.66,2,8.387118594025265,8.231621391766552,8.234305173760893,721.8540945544747,164.6097261072261
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,5000,0.6,2,8.387118594025265,,,,269.02392274392275
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,50,0.84,3,8.232196577061114,5.204793668314817,5.12324284528762,41.26096550666762,30.85621052631579
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,100,0.78,3,8.232196577061114,5.950411723256457,5.8224085290364425,75.01607499772673,50.06404558404558
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,500,0.72,3,8.232196577061114,7.321091667567098,7.164100727256192,268.44486019246955,79.30569103194104
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,2000,0.66,3,8.232196577061114,8.084189577384477,8.011260221846845,692.4265408083793,120.30918280132566
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,5000,0.6,3,8.232196577061114,,,,197.86268921095007
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,50,0.84,4,8.516390610048424,5.318000772371217,5.239189527614321,42.918714664829054,39.074340740740745
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,100,0.78,4,8.516390610048424,6.088001869044993,5.988159709930415,78.18240083796013,66.17064606741573
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,500,0.72,4,8.516390610048424,7.526956700628082,7.4148331259085145,281.65240103195845,107.51948251748252
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,2000,0.66,4,8.516390610048424,8.350116979610833,8.307445425739909,756.4923633016583,168.1219236912156
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,5000,0.6,4,8.516390610048424,,,,285.1782496782497
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,50,0.84,5,8.300858528959413,5.284538420696642,5.186546295702121,42.390662960511285,34.16528735632184
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,100,0.78,5,8.300858528959413,6.047919266961307,5.915957752903261,76.69531240564693,55.199766355140184
poetry,AlfredTennyson_IdyllsOfTheKing.txt,2931,500,0.72,5,8.300858528959413,7.418687747501491,7.34014425290143,266.20720002445285,89.08969696969697
