genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,50,0.84,0,8.258772898895451,5.2722807778164,5.276814653938153,42.38257498523697,49.08146341463415
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,100,0.78,0,8.258772898895451,5.978319337525155,6.020491958563026,76.62727565478843,76.5
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,500,0.72,0,8.258772898895451,7.4611313471347716,7.433876634271522,275.4555997763961,124.39030303030303
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,2000,0.66,0,8.258772898895451,8.258653528931811,8.257886587250834,745.7456271863958,192.10460829493087
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,5000,0.6,0,8.258772898895451,,,,293.6203933747412
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,50,0.84,1,8.242959534237253,5.342519608773928,5.2681869589236365,42.41996807135404,43.58859903381643
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,100,0.78,1,8.242959534237253,6.080174719033246,6.000180180857068,76.50093090940747,77.72435897435898
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,500,0.72,1,8.242959534237253,7.483549029798565,7.3451756586737025,272.9379004509838,117.0
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,2000,0.66,1,8.242959534237253,8.243465473542742,8.241876594034764,736.7496251873955,177.69260869565215
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,5000,0.6,1,8.242959534237253,,,,288.39768744707186
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,50,0.84,2,8.26793523622148,5.35281010282938,5.228352196018165,42.03196879115765,42.873684210526314
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,100,0.78,2,8.26793523622148,6.007738184335075,5.961136349529548,76.44275665066618,70.30842105263157
literature,StGeorgeRathborne_TheSpidersWeb.txt,2001,500,0.72,2,8.26793523622148,7.423404131020078,7.385286640045947,279.82008979355896,122.29080213903742
