genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
legal,usc37.txt,2001,50,0.84,0,7.287843443537646,5.104913429025233,5.028391571180751,38.60939764283718,26.24342105263158
legal,usc37.txt,2001,100,0.78,0,7.287843443537646,5.679015605721112,5.598794431197909,66.57240982710692,37.920503144654084
legal,usc37.txt,2001,500,0.72,0,7.287843443537646,6.798702665781929,6.646590578616289,197.63860332810236,48.98296747967479
legal,usc37.txt,2001,2000,0.66,0,7.287843443537646,7.287588801507026,7.287652562841334,417.90054972513315,72.83683916083916
legal,usc37.txt,2001,5000,0.6,0,7.287843443537646,,,,103.07851037851037
legal,usc37.txt,2001,50,0.84,1,7.04253476534476,4.987222127790438,4.992385203557867,37.708517002919514,25.22012578616352
legal,usc37.txt,2001,100,0.78,1,7.04253476534476,5.661844927099253,5.550318245961327,63.60595203023876,36.51970909090909
legal,usc37.txt,2001,500,0.72,1,7.04253476534476,6.606164643122037,6.527380069317601,176.40564115203784,49.67604938271605
legal,usc37.txt,2001,2000,0.66,1,7.04253476534476,7.04278109843432,7.04148394401107,346.9290354822558,67.6216
legal,usc37.txt,2001,5000,0.6,1,7.04253476534476,,,,94.89767441860465
legal,usc37.txt,2001,50,0.84,2,6.9381900747651475,5.097660689688185,4.955702340513942,37.50469047166381,23.63455621301775
legal,usc37.txt,2001,100,0.78,2,6.9381900747651475,5.691248948753323,5.521839197871809,62.29768982728346,32.08806
legal,usc37.txt,2001,500,0.72,2,6.9381900747651475,6.576513115939923,6.528112483795556,165.30282264538099,46.23609195402299
legal,usc37.txt,2001,2000,0.66,2,6.9381900747651475,6.937820136342353,6.938818167282831,302.9525237381289,57.15314285714285
legal,usc37.txt,2001,5000,0.6,2,6.9381900747651475,,,,81.021
legal,usc37.txt,2001,50,0.84,3,7.391718713571571,5.055473521828584,4.938075135737618,38.64669636198763,24.345454545454544
legal,usc37.txt,2001,100,0.78,3,7.391718713571571,5.807276865009371,5.493325305310097,66.84762156730596,32.115520000000004
legal,usc37.txt,2001,500,0.72,3,7.391718713571571,6.897392170035398,6.492584324498026,209.10634919184784,47.41783720930232
legal,usc37.txt,2001,2000,0.66,3,7.391718713571571,7.392100450692036,7.391050538422456,477.87006496751064,63.4375
legal,usc37.txt,2001,5000,0.6,3,7.391718713571571,,,,88.09565217391305
legal,usc37.txt,2001,50,0.84,4,6.794286438119345,5.00938275871335,4.925564024500819,37.1009516087838,23.3566783625731
legal,usc37.txt,2001,100,0.78,4,6.794286438119345,5.651447149971068,5.480387478025415,61.00907393156723,31.92
