genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,0,5.268758439731455,3.2419280948873626,3.190770930226834,9.638775510204095,34.78666666666667
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,0,5.268758439731455,5.268758439731455,5.268758439731455,41.0,
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,0,5.268758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,0,5.268758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,0,5.268758439731455,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,1,5.116565630242719,3.181928094887362,3.193257637565014,9.401682115954618,26.240000000000002
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,1,5.116565630242719,5.116565630242719,5.116565630242719,39.0,44.786666666666655
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,1,5.116565630242719,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,1,5.116565630242719,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,1,5.116565630242719,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,2,5.133660689688186,3.201928094887363,3.302415899765414,9.4480677377334,44.51999999999998
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,2,5.133660689688186,5.133660689688186,5.133660689688186,39.0,44.5
literature,AnnaSewell_BlackBeauty.txt,50,100,0.72,2,5.133660689688186,,,,
literature,AnnaSewell_BlackBeauty.txt,50,200,0.66,2,5.133660689688186,,,,
literature,AnnaSewell_BlackBeauty.txt,50,500,0.6,2,5.133660689688186,,,,
literature,AnnaSewell_BlackBeauty.txt,50,10,0.84,3,5.158562939644916,3.2819280948873626,3.180464680253218,9.50408163265306,35.139999999999986
literature,AnnaSewell_BlackBeauty.txt,50,50,0.78,3,5.158562939644916,5.158562939644916,5.158562939644916,39.0,49.5
