genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,10,0.84,0,5.293660689688186,3.251794222930868,3.2487573631800477,9.644897959183682,33.28
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,50,0.78,0,5.293660689688186,5.293660689688186,5.293660689688186,42.0,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,100,0.72,0,5.293660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,200,0.66,0,5.293660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,500,0.6,0,5.293660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,10,0.84,1,5.243856189774724,3.253635411960535,3.2633915095215107,9.58276161528443,37.5
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,50,0.78,1,5.243856189774724,5.243856189774724,5.243856189774724,41.0,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,100,0.72,1,5.243856189774724,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,200,0.66,1,5.243856189774724,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,500,0.6,1,5.243856189774724,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,10,0.84,2,5.213660689688186,3.2585134607410233,3.2682695583019985,9.521537125488504,65.48000000000003
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,50,0.78,2,5.213660689688186,5.213660689688186,5.213660689688186,41.0,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,100,0.72,2,5.213660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,200,0.66,2,5.213660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,500,0.6,2,5.213660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,10,0.84,3,4.819470570797252,3.1078441009585416,3.129843003418672,8.998370745152819,14.137142857142857
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,50,0.78,3,4.819470570797252,4.819470570797252,4.819470570797252,34.0,28.840000000000003
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,100,0.72,3,4.819470570797252,,,,49.000000000000014
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,200,0.66,3,4.819470570797252,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,500,0.6,3,4.819470570797252,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,10,0.84,4,5.293660689688186,3.2585134607410233,3.2585134607410233,9.644897959183687,41.5
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,50,0.78,4,5.293660689688186,5.293660689688186,5.293660689688186,42.0,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,100,0.72,4,5.293660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,200,0.66,4,5.293660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,500,0.6,4,5.293660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,10,0.84,5,5.188758439731455,3.2243671192776087,3.2390012656190725,9.565306122448991,31.5
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,50,0.78,5,5.188758439731455,5.188758439731455,5.188758439731455,39.0,44.0
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,100,0.72,5,5.188758439731455,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,200,0.66,5,5.188758439731455,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,500,0.6,5,5.188758439731455,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,10,0.84,6,5.333660689688186,3.256672271711357,3.253635411960535,9.68163265306124,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,50,0.78,6,5.333660689688186,5.333660689688186,5.333660689688186,43.0,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,100,0.72,6,5.333660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,200,0.66,6,5.333660689688186,,,,
poetry,GeoffreyChaucer_TheCanterburyTales.txt,50,500,0.6,6,5.333660689688186,,,,
