genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,0,5.213660689688186,3.194379219865728,3.278025655862975,9.5215371254885,62.21333333333329
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,0,5.213660689688186,5.213660689688186,5.213660689688186,41.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,0,5.213660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,0,5.213660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,0,5.213660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,1,5.333660689688186,3.2819280948873626,3.317050046106878,9.681632653061243,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,1,5.333660689688186,5.333660689688186,5.333660689688186,43.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,1,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,1,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,1,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,2,5.283856189774724,3.2819280948873626,3.209732972936146,9.619496309161985,42.0
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,2,5.283856189774724,5.283856189774724,5.283856189774724,42.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,2,5.283856189774724,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,2,5.283856189774724,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,2,5.283856189774724,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,3,5.443856189774724,3.261928094887362,3.2829037046434624,9.816326530612269,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,3,5.443856189774724,5.443856189774724,5.443856189774724,45.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,3,5.443856189774724,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,3,5.443856189774724,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,3,5.443856189774724,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,4,5.308758439731455,3.261928094887362,3.317050046106877,9.67551020408165,40.5
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,4,5.308758439731455,5.308758439731455,5.308758439731455,42.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,4,5.308758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,4,5.308758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,4,5.308758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,5,5.373660689688186,3.301928094887362,3.278025655862974,9.718367346938791,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,5,5.373660689688186,5.373660689688186,5.373660689688186,44.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,5,5.373660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,5,5.373660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,5,5.373660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,6,5.268758439731455,3.2819280948873626,3.224917271690249,9.588884064264011,40.0
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,6,5.268758439731455,5.268758439731455,5.268758439731455,42.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,6,5.268758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,6,5.268758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,6,5.268758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,7,5.333660689688186,3.214379219865728,3.273147607082487,9.681632653061236,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,7,5.333660689688186,5.333660689688186,5.333660689688186,43.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,7,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,7,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,7,5.333660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,8,5.133660689688186,3.2219280948873625,3.204854924155658,9.448067737733396,53.64999999999997
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,8,5.133660689688186,5.133660689688186,5.133660689688186,39.0,66.9066666666667
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,8,5.133660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,8,5.133660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,8,5.133660689688186,,,,
poetry,JohnMilton_ParadiseLost.txt,50,10,0.84,9,5.508758439731455,3.261928094887362,3.3121719973263897,9.859183673469417,
poetry,JohnMilton_ParadiseLost.txt,50,50,0.78,9,5.508758439731455,5.508758439731455,5.508758439731455,47.0,
poetry,JohnMilton_ParadiseLost.txt,50,100,0.72,9,5.508758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,200,0.66,9,5.508758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,50,500,0.6,9,5.508758439731455,,,,
poetry,JohnMilton_ParadiseLost.txt,62,10,0.84,0,5.542748326446119,3.261928094887362,3.235135642057174,9.637910172180485,48.440000000000005
poetry,JohnMilton_ParadiseLost.txt,62,50,0.78,0,5.542748326446119,5.303699789705494,5.306782728169694,42.33174089576847,
poetry,JohnMilton_ParadiseLost.txt,62,100,0.72,0,5.542748326446119,,,,
poetry,JohnMilton_ParadiseLost.txt,62,200,0.66,0,5.542748326446119,,,,
poetry,JohnMilton_ParadiseLost.txt,62,500,0.6,0,5.542748326446119,,,,
poetry,JohnMilton_ParadiseLost.txt,62,10,0.84,1,5.639522519994506,3.2819280948873626,3.2992865854534035,9.744579587519876,
poetry,JohnMilton_ParadiseLost.txt,62,50,0.78,1,5.639522519994506,5.395248664727128,5.391835362808378,43.91062929666836,
poetry,JohnMilton_ParadiseLost.txt,62,100,0.72,1,5.639522519994506,,,,
poetry,JohnMilton_ParadiseLost.txt,62,200,0.66,1,5.639522519994506,,,,
poetry,JohnMilton_ParadiseLost.txt,62,500,0.6,1,5.639522519994506,,,,
