genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,LesslieHall_Beowulf.txt,50,10,0.84,0,5.023465189601647,3.1212825765788508,3.109685289988208,9.240083822613226,20.25
poetry,LesslieHall_Beowulf.txt,50,50,0.78,0,5.023465189601647,5.023465189601647,5.023465189601647,38.0,28.666666666666668
poetry,LesslieHall_Beowulf.txt,50,100,0.72,0,5.023465189601647,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,0,5.023465189601647,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,0,5.023465189601647,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,1,5.038562939644916,3.1584657777930865,3.138953582671136,9.270696067511182,38.28000000000001
poetry,LesslieHall_Beowulf.txt,50,50,0.78,1,5.038562939644916,5.038562939644916,5.038562939644916,38.0,49.92444444444444
poetry,LesslieHall_Beowulf.txt,50,100,0.72,1,5.038562939644916,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,1,5.038562939644916,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,1,5.038562939644916,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,2,5.523856189774724,3.302415899765414,3.3219280948873653,9.889795918367376,
poetry,LesslieHall_Beowulf.txt,50,50,0.78,2,5.523856189774724,5.523856189774724,5.523856189774724,47.0,
poetry,LesslieHall_Beowulf.txt,50,100,0.72,2,5.523856189774724,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,2,5.523856189774724,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,2,5.523856189774724,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,3,5.09082650068666,3.168221875354062,3.2194890704971204,9.26640985550726,24.59
poetry,LesslieHall_Beowulf.txt,50,50,0.78,3,5.09082650068666,5.09082650068666,5.09082650068666,40.0,
poetry,LesslieHall_Beowulf.txt,50,100,0.72,3,5.09082650068666,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,3,5.09082650068666,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,3,5.09082650068666,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,4,5.291663380285988,3.2243671192776087,3.258513460741024,9.579233136362792,
poetry,LesslieHall_Beowulf.txt,50,50,0.78,4,5.291663380285988,5.291663380285988,5.291663380285988,43.0,
poetry,LesslieHall_Beowulf.txt,50,100,0.72,4,5.291663380285988,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,4,5.291663380285988,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,4,5.291663380285988,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,5,5.323856189774724,3.227403979028429,3.302415899765414,9.656231003039533,
poetry,LesslieHall_Beowulf.txt,50,50,0.78,5,5.323856189774724,5.323856189774724,5.323856189774724,43.0,
poetry,LesslieHall_Beowulf.txt,50,100,0.72,5,5.323856189774724,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,5,5.323856189774724,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,5,5.323856189774724,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,6,5.09082650068666,3.1633438265735747,3.2060505948768125,9.26640985550726,44.33333333333334
poetry,LesslieHall_Beowulf.txt,50,50,0.78,6,5.09082650068666,5.09082650068666,5.09082650068666,40.0,
poetry,LesslieHall_Beowulf.txt,50,100,0.72,6,5.09082650068666,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,6,5.09082650068666,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,6,5.09082650068666,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,7,5.173660689688186,3.214611021716633,3.2877817534239506,9.484802431610944,49.30666666666667
poetry,LesslieHall_Beowulf.txt,50,50,0.78,7,5.173660689688186,5.173660689688186,5.173660689688186,40.0,
poetry,LesslieHall_Beowulf.txt,50,100,0.72,7,5.173660689688186,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,7,5.173660689688186,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,7,5.173660689688186,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,8,5.268758439731455,3.2633915095215116,3.3219280948873653,9.638775510204088,37.5
poetry,LesslieHall_Beowulf.txt,50,50,0.78,8,5.268758439731455,5.268758439731455,5.268758439731455,41.0,
poetry,LesslieHall_Beowulf.txt,50,100,0.72,8,5.268758439731455,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,8,5.268758439731455,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,8,5.268758439731455,,,,
poetry,LesslieHall_Beowulf.txt,50,10,0.84,9,4.973660689688185,3.1835015400040385,3.0785758082756156,9.177947478713959,20.6
poetry,LesslieHall_Beowulf.txt,50,50,0.78,9,4.973660689688185,4.973660689688185,4.973660689688185,37.0,27.10380952380953
poetry,LesslieHall_Beowulf.txt,50,100,0.72,9,4.973660689688185,,,,
poetry,LesslieHall_Beowulf.txt,50,200,0.66,9,4.973660689688185,,,,
poetry,LesslieHall_Beowulf.txt,50,500,0.6,9,4.973660689688185,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,0,5.628073574293568,3.281187354146624,3.251557724516994,9.712195613306108,
poetry,LesslieHall_Beowulf.txt,63,50,0.78,0,5.628073574293568,5.365957154041895,5.30957047548901,43.433515482695675,
poetry,LesslieHall_Beowulf.txt,63,100,0.72,0,5.628073574293568,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,0,5.628073574293568,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,0,5.628073574293568,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,1,5.546813011138587,3.235344969883358,3.2404466134058842,9.59674709095244,43.69333333333333
poetry,LesslieHall_Beowulf.txt,63,50,0.78,1,5.546813011138587,5.30626043121452,5.23172628922701,42.37353366775505,
poetry,LesslieHall_Beowulf.txt,63,100,0.72,1,5.546813011138587,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,1,5.546813011138587,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,1,5.546813011138587,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,2,5.54061682819314,3.2552614282206984,3.2774836504429192,9.626073380171718,45.49999999999999
poetry,LesslieHall_Beowulf.txt,63,50,0.78,2,5.54061682819314,5.308380350436468,5.225901296874312,41.91168693812785,
poetry,LesslieHall_Beowulf.txt,63,100,0.72,2,5.54061682819314,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,2,5.54061682819314,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,2,5.54061682819314,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,3,5.215375161595155,3.101939229110564,3.22933550229477,9.156111925394782,20.613333333333333
poetry,LesslieHall_Beowulf.txt,63,50,0.78,3,5.215375161595155,4.959302666578906,5.069185426906602,37.79022571756734,35.44087499999999
poetry,LesslieHall_Beowulf.txt,63,100,0.72,3,5.215375161595155,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,3,5.215375161595155,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,3,5.215375161595155,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,4,5.616091232989385,3.2626688356281055,3.2256317985910674,9.69217597139329,
poetry,LesslieHall_Beowulf.txt,63,50,0.78,4,5.616091232989385,5.346979707591688,5.290971118333789,43.299841353780934,
poetry,LesslieHall_Beowulf.txt,63,100,0.72,4,5.616091232989385,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,4,5.616091232989385,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,4,5.616091232989385,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,5,5.558795352442769,3.2117248078423137,3.2515577245169935,9.616766732865266,37.34
poetry,LesslieHall_Beowulf.txt,63,50,0.78,5,5.558795352442769,5.2726620349870865,5.286929802014775,42.50720779666979,
poetry,LesslieHall_Beowulf.txt,63,100,0.72,5,5.558795352442769,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,5,5.558795352442769,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,5,5.558795352442769,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,6,5.584345201243353,3.252465548583056,3.2700762430355126,9.669134496738913,108.78666666666662
poetry,LesslieHall_Beowulf.txt,63,50,0.78,6,5.584345201243353,5.325200975451922,5.260509243287431,42.67260121041176,
poetry,LesslieHall_Beowulf.txt,63,100,0.72,6,5.584345201243353,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,6,5.584345201243353,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,6,5.584345201243353,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,7,5.23488468646552,3.192716173571036,3.1440779096701275,9.207032598025705,22.66
poetry,LesslieHall_Beowulf.txt,63,50,0.78,7,5.23488468646552,5.00926541875027,5.0293091369091245,37.81797501064346,35.577
poetry,LesslieHall_Beowulf.txt,63,100,0.72,7,5.23488468646552,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,7,5.23488468646552,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,7,5.23488468646552,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,8,5.604108891685203,3.262668835628107,3.2737799467392175,9.706504494976176,52.671111111111124
poetry,LesslieHall_Beowulf.txt,63,50,0.78,8,5.604108891685203,5.370537171871221,5.325579064746909,42.83301016510946,
poetry,LesslieHall_Beowulf.txt,63,100,0.72,8,5.604108891685203,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,8,5.604108891685203,,,,
poetry,LesslieHall_Beowulf.txt,63,500,0.6,8,5.604108891685203,,,,
poetry,LesslieHall_Beowulf.txt,63,10,0.84,9,5.699346986923299,3.270076243035513,3.3071132800725507,9.775628918939312,
poetry,LesslieHall_Beowulf.txt,63,50,0.78,9,5.699346986923299,5.460943189749998,5.464122564734546,44.71473059521697,
poetry,LesslieHall_Beowulf.txt,63,100,0.72,9,5.699346986923299,,,,
poetry,LesslieHall_Beowulf.txt,63,200,0.66,9,5.699346986923299,,,,
