genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.84,0,5.213660689688186,3.181928094887362,3.2390012656190725,9.521537125488507,42.639999999999986
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.78,0,5.213660689688186,5.213660689688186,5.213660689688186,41.0,
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.72,0,5.213660689688186,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.66,0,5.213660689688186,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.6,0,5.213660689688186,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.84,1,5.268758439731455,3.2219280948873616,3.273147607082487,9.588884064264018,44.5
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.78,1,5.268758439731455,5.268758439731455,5.268758439731455,42.0,
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.72,1,5.268758439731455,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.66,1,5.268758439731455,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.6,1,5.268758439731455,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.84,2,4.963856189774725,3.1619280948873625,3.146318338789804,9.2258358662614,20.79333333333334
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.78,2,4.963856189774725,4.963856189774725,4.963856189774725,36.0,26.005
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.72,2,4.963856189774725,,,,38.92000000000001
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.66,2,4.963856189774725,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.6,2,4.963856189774725,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.84,3,5.143465189601647,3.261928094887362,3.1755866314727297,9.473469387755106,49.880000000000024
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.78,3,5.143465189601647,5.143465189601647,5.143465189601647,39.0,42.0
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.72,3,5.143465189601647,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.66,3,5.143465189601647,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.6,3,5.143465189601647,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,10,0.84,4,5.308758439731455,3.2219280948873616,3.2682695583019985,9.67551020408165,44.5
poetry,RobertBurns_PoemsAndSongs.txt,50,50,0.78,4,5.308758439731455,5.308758439731455,5.308758439731455,42.0,
poetry,RobertBurns_PoemsAndSongs.txt,50,100,0.72,4,5.308758439731455,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,200,0.66,4,5.308758439731455,,,,
poetry,RobertBurns_PoemsAndSongs.txt,50,500,0.6,4,5.308758439731455,,,,
