genre,file,reduced_sample_size,subsample_len,mtld_thresholds,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,10,0.84,0,5.323856189774724,3.258513460741024,3.273147607082487,9.65623100303953,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,50,0.78,0,5.323856189774724,5.323856189774724,5.323856189774724,43.0,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,100,0.72,0,5.323856189774724,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,200,0.66,0,5.323856189774724,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,500,0.6,0,5.323856189774724,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,10,0.84,1,5.428758439731455,3.2713064180528204,3.2780256558629755,9.785714285714306,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,50,0.78,1,5.428758439731455,5.428758439731455,5.428758439731455,45.0,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,100,0.72,1,5.428758439731455,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,200,0.66,1,5.428758439731455,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,500,0.6,1,5.428758439731455,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,10,0.84,2,5.443856189774724,3.2829037046434624,3.2877817534239515,9.816326530612269,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,50,0.78,2,5.443856189774724,5.443856189774724,5.443856189774724,45.0,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,100,0.72,2,5.443856189774724,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,200,0.66,2,5.443856189774724,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,500,0.6,2,5.443856189774724,,,,
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,10,0.84,3,5.293660689688186,3.232282027808917,3.268269558302,9.644897959183687,45.0
literature,StGeorgeRathborne_TheSpidersWeb.txt,50,50,0.78,3,5.293660689688186,5.293660689688186,5.293660689688186,42.0,
