type,slope,shift,variety,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
shift,-1.0616022882675031,-0.1890283485264853,7100,0,8.279877923662495,7.735520464794809,7.735577136481651,1347.4571012858019,42.348045827929106
shift,-1.0616022882675031,-0.1890283485264853,7100,1,8.27522077586057,7.728314551563654,7.732068031611483,1350.2739997157535,41.77311812366738
shift,-1.0616022882675031,-0.1890283485264853,7100,2,8.257751532372016,7.712535665398354,7.713464114350993,1343.641257473305,41.36418496621622
shift,-1.0616022882675031,-0.1890283485264853,7100,3,8.278580799606408,7.730632829202218,7.729060609816684,1353.6168060174978,41.95691233534488
shift,-1.0616022882675031,-0.1890283485264853,7100,4,8.26865669825116,7.7233777881291354,7.727168734858333,1344.4717590965058,41.81212638770282
shift,-1.0616022882675031,-0.1890283485264853,7100,5,8.276076665701064,7.731569528696228,7.732098026583531,1347.4240806063124,42.051435809360235
shift,-1.0616022882675031,-0.1890283485264853,7100,6,8.279274104855656,7.731103071178257,7.729604330297176,1352.022737034482,41.776121774365535
shift,-1.0616022882675031,-0.1890283485264853,7100,7,8.232619195354294,7.68958162127333,7.685657251624101,1335.9455722196456,41.00612099644128
shift,-1.0616022882675031,-0.1890283485264853,7100,8,8.266693683069835,7.718933029586403,7.714444822956513,1349.5062743244746,41.700571996309705
shift,-1.0616022882675031,-0.1890283485264853,7100,9,8.277065140023781,7.72995211370194,7.730133816017828,1353.7901568313691,41.70113583138173
